Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,1403208,43700000,0.00766503603313879
AMERICAN EXPRESS CO,025816109,14451533,151610700,0.07894162603056305
APPLE INC,037833100,39370221,249589329,0.21506017824701504
BANK AMER CORP,060505104,22081569,896167600,0.12062076474281823
BANK OF NEW YORK MELLON CORP,064058100,3809716,80937250,0.020810607134527013
CHARTER COMMUNICATIONS INC N,16119P108,2004336,7033499,0.010948703016600012
COCA COLA CO,191216100,18939999,400000000,0.10345991100579005
COSTCO WHSL CORP NEW,22160K105,882749,4333363,0.004822024171197167
DAVITA HEALTHCARE PARTNERS I,23918K108,1984584,38565570,0.010840807542994846
DELTA AIR LINES INC DEL,247361702,3270197,65535000,0.01786347985506238
GENERAL MTRS CO,37045V100,2417421,72269696,0.013205183459805252
GOLDMAN SACHS GROUP INC,38141G104,3065974,18353635,0.016747909922596414
JPMORGAN CHASE & CO,46625H100,4892364,50116394,0.02672458135018545
JOHNSON & JOHNSON,478160104,42212,327100,0.0002305834210116067
KRAFT HEINZ CO,500754106,14015323,325634818,0.07655882507160652
LIBERTY MEDIA CORP DELAWARE,531229409,546862,14860360,0.0029872384815040572
LIBERTY MEDIA CORP DELAWARE,531229607,1149744,31090985,0.006280486705381615
M & T BK CORP,55261F104,770331,5382040,0.004207939858127831
MASTERCARD INC,57636Q104,930942,4934756,0.005085278857277247
MONDELEZ INTL INC,609207105,23137,578000,0.00012638606585675978
MOODYS CORP,615369105,3454756,24669778,0.018871635014696634
PNC FINL SVCS GROUP INC,693475105,966034,8263062,0.00527696921570943
PHILLIPS 66,718546104,1024826,11895842,0.005598121032446717
PROCTER & GAMBLE CO,742718109,28992,315400,0.00015836905481778882
RED HAT INC,756577102,733436,4175792,0.004006400596348639
RESTAURANT BRANDS INTL INC,76131D103,441319,8438225,0.0024107089163607803
SIRIUS XM HLDGS INC,82968B103,787499,137915729,0.0043017202090215876
SOUTHWEST AIRLS CO,844741108,2549307,54847399,0.013925611893983607
STORE CAP CORP,862121100,527180,18621674,0.0028797253835141385
SUNCOR ENERGY INC NEW,867224107,300901,10758000,0.0016436743571925866
SYNCHRONY FINL,87165B103,488038,20803000,0.002665911864485514
TEVA PHARMACEUTICAL INDS LTD,881624209,666905,43249295,0.0036429744240913855
TORCHMARK CORP,891027104,473544,6353727,0.002586738262094198
TRAVELERS COMPANIES INC,89417E109,713517,5958391,0.00389759288377567
US BANCORP DEL,902973304,5909415,129308831,0.03228023137679579
U S G CORP,903293405,1663826,39002016,0.009088664148774224
UNITED CONTL HLDGS INC,910047109,1836922,21938642,0.010034202570157363
UNITED PARCEL SERVICE INC,911312106,5793,59400,3.164431341609584e-05
VERISIGN INC,92343E102,1920763,12952745,0.010492184769556446
VERIZON COMMUNICATIONS INC,92343V104,52,928,2.84050457040736e-07
VISA INC,92826C839,1393611,10562460,0.007612612336288406
WELLS FARGO & CO NEW,949746101,19665511,426768902,0.10742302668249272
AXALTA COATING SYS LTD,G0750C108,568263,24264000,0.003104141632102688
LIBERTY GLOBAL PLC,G5480U104,422340,19791000,0.002307035962049701
LIBERTY GLOBAL PLC,G5480U120,151641,7346968,0.0008283402953098894
STONECO LTD,G85158106,261235,14166748,0.0014269984835583976
LIBERTY LATIN AMERICA LTD,G9001E102,39311,2714854,0.00021473668301400718
LIBERTY LATIN AMERICA LTD,G9001E128,18708,1284020,0.00010219261442919402
