Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,2390159,46000000,0.012650100392774836
AMERICAN EXPRESS CO,025816109,14142245,151610700,0.07484891968660577
APPLE INC,037833100,40194658,239567633,0.2127333198139748
BANK AMER CORP,060505104,20363209,679000000,0.10777385026228635
BANK OF NEW YORK MELLON CORP,064058100,3204724,62191448,0.016961248323285164
CHARTER COMMUNICATIONS INC N,16119P108,2559122,8222873,0.013544350069329582
COCA COLA CO,191216100,17371999,400000000,0.09194264121055715
COSTCO WHSL CORP NEW,22160K105,816536,4333363,0.004321579599647887
DAVITA HEALTHCARE PARTNERS I,23918K108,2543014,38565570,0.013459097240071438
DELTA AIR LINES INC DEL,247361702,2937781,53599357,0.015548431958705028
GENERAL MTRS CO,37045V100,1816999,50000000,0.009616606997095793
GOLDMAN SACHS GROUP INC,38141G104,2760264,10959519,0.014608909579054048
JOHNSON & JOHNSON,478160104,41918,327100,0.00022185423993313232
KRAFT HEINZ CO,500754106,20283793,325634818,0.10735353497246981
LIBERTY MEDIA CORP DELAWARE,531229409,610761,14860360,0.003232499580986684
LIBERTY MEDIA CORP DELAWARE,531229607,1270067,31090985,0.006721927309250288
M & T BK CORP,55261F104,992234,5382040,0.005251474781855327
MASTERCARD INC,57636Q104,864372,4934756,0.004574755309878368
MONDELEZ INTL INC,609207105,24120,578000,0.0001276569556559748
MOSANTO CO NEW,61166W101,2213625,18970134,0.0117157806162503
MOODYS CORP,615369105,3979236,24669778,0.02106041266984488
PHILLIPS 66,718546104,4382575,45689892,0.023195115357959525
PROCTER & GAMBLE CO,742718109,25005,315400,0.00013234088624285446
RESTAURANT BRANDS INTL INC,76131D103,480304,8438225,0.0025420458718651458
SANOFI,80105N105,148337,3701012,0.0007850849847073106
SIRIUS XM HLDGS INC,82968B103,860594,137915729,0.00455475995422048
SOUTHWEST AIRLS CO,844741108,2729934,47659456,0.0144483857206359
STORE CAP CORP,862121100,462190,18621674,0.0024461761332767408
SYNCHRONY FINL,87165B103,697524,20803000,0.0036916994335397246
TEVA PHARMACEUTICAL INDS LTD,881624209,692824,40539710,0.0036668243219483863
TORCHMARK CORP,891027104,534794,6353727,0.002830438389016641
US BANCORP DEL,902973304,4587811,90847721,0.024281342677653125
U S G CORP,903293405,1576461,39002016,0.008343541126466571
UNITED CONTL HLDGS INC,910047109,1924733,27705963,0.010186797480538613
UNITED PARCEL SERVICE INC,911312106,6217,59400,3.290395080071291e-05
VERISIGN INC,92343E102,1535678,12952745,0.0081276939613539
VERIZON COMMUNICATIONS INC,92343V104,44,928,2.328733851104018e-07
VERISK ANALYTICS INC,92345Y106,29617,284778,0.00015675025106397204
VISA INC,92826C839,1263481,10562460,0.006687070397560808
WAL MART STORES INC,931142103,123981,1393513,0.0006561789808948346
WELLS FARGO & CO NEW,949746101,23925858,456513244,0.1266294441847906
AXALTA COATING SYS LTD,G0750C108,704152,23324000,0.003726778633460446
LIBERTY GLOBAL PLC,G5480U104,570042,18206408,0.00301699114079781
LIBERTY GLOBAL PLC,G5480U120,223568,7346968,0.0011832508400536888
LIBERTY LATIN AMERICA LTD,G9001E102,52804,2714854,0.00027946923244021943
LIBERTY LATIN AMERICA LTD,G9001E128,24512,1284020,0.0001297316458142311
