Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,2365039,47000000,0.014586068780018937
AMERICAN EXPRESS CO,025816109,12771685,151610700,0.07876769721206972
APPLE INC,037833100,18750246,130191960,0.11563969042298032
BANK OF NEW YORK MELLON CORP,064058100,2562715,50229588,0.01580520966190673
CHARTER COMMUNICATIONS INC N,16119P108,3181040,9443491,0.019618648247234586
COCA COLA CO,191216100,17939999,400000000,0.11064259799837167
COSTCO WHSL CORP NEW,22160K105,693035,4333363,0.004274202741248844
DAVITA HEALTHCARE PARTNERS I,23918K108,2497506,38565570,0.015403041681135057
DELTA AIR LINES INC DEL,247361702,2854152,53110395,0.0176026092511069
GENERAL MTRS CO,37045V100,2095800,60000000,0.012925572453208462
GOLDMAN SACHS GROUP INC,38141G104,2431917,10959519,0.014998530100052183
GRAHAM HLDGS CO,384637104,64507,107575,0.0003978384875651867
INTERNATIONAL BUSINESS MACHS,459200101,8319845,54084673,0.05131155613463315
JOHNSON & JOHNSON,478160104,43272,327100,0.0002668744017536199
KRAFT HEINZ CO,500754106,27887366,325634818,0.1719916832532409
LIBERTY MEDIA CORP DELAWARE,531229409,623838,14860360,0.0038474392919480203
LIBERTY MEDIA CORP DELAWARE,531229607,1296494,31090985,0.007995957215454744
M & T BK CORP,55261F104,871622,5382040,0.005375614711714127
MASTERCARD INC,57636Q104,599326,4934756,0.0036962647371369477
MONDELEZ INTL INC,609207105,24964,578000,0.0001539622057075561
MOSANTO CO NEW,61166W101,951826,8041784,0.005870262394239717
MOODYS CORP,615369105,3001819,24669778,0.018513326164671138
PHILLIPS 66,718546104,6672247,80689892,0.04115021090953469
PROCTER & GAMBLE CO,742718109,27487,315400,0.00016952247830009592
RESTAURANT BRANDS INTL INC,76131D103,527727,8438225,0.0032546872669216255
SANOFI,80105N105,187130,3905875,0.0011540998058826699
SIRIUS XM HLDGS INC,82968B103,754399,137915729,0.004652657187292686
SOUTHWEST AIRLS CO,844741108,2961559,47659456,0.018265027879068422
STORE CAP CORP,862121100,418057,18621674,0.002578311882369964
SYNCHRONY FINL,87165B103,520747,17463000,0.0032116390296263704
TORCHMARK CORP,891027104,486059,6353727,0.002997705325428978
US BANCORP DEL,902973304,4416478,85063167,0.02723805056637141
U S G CORP,903293405,1131838,39002016,0.006980462865872011
UNITED CONTL HLDGS INC,910047109,2122920,28211563,0.013092831506997476
UNITED PARCEL SERVICE INC,911312106,6569,59400,4.05134485376116e-05
VERISIGN INC,92343E102,1204088,12952745,0.007426055293462578
VERIZON COMMUNICATIONS INC,92343V104,41,928,2.5286213884032204e-07
VERISK ANALYTICS INC,92345Y106,131907,1563434,0.0008135191743417162
VISA INC,92826C839,990547,10562460,0.006109069098582061
WABCO HLDGS INC,92927K102,8058,63195,4.96966613359833e-05
WAL MART STORES INC,931142103,105461,1393513,0.0006504169274204683
WELLS FARGO & CO NEW,949746101,25931175,467987270,0.1599271310522607
AXALTA COATING SYS LTD,G0750C108,747301,23324000,0.00460888120042711
LIBERTY GLOBAL PLC,G5480U104,648210,20180897,0.003997750415065492
LIBERTY GLOBAL PLC,G5480U120,229078,7346968,0.0014128086107625193
LIBERTY GLOBAL PLC,G5480U138,59102,2714854,0.00036450385682294426
LIBERTY GLOBAL PLC,G5480U153,27491,1284020,0.00016954714777705595
