Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,14105859,151610700,0.12897932299790152
BANK OF NEW YORK MELLON CORP,064058100,893050,22012603,0.00816575469833322
CHARTER COMMUNICATIONS INC D,16117M305,1032751,6198237,0.009443134573045554
CHICAGO BRIDGE & IRON CO N V,167250109,449233,10701110,0.004107638408147727
COCA COLA CO,191216100,16887999,400000000,0.15441829368982332
COSTCO WHSL CORP NEW,22160K105,614254,4333363,0.005616536013067548
DAVITA HEALTHCARE PARTNERS I,23918K108,2920956,38565570,0.026708258418481172
DEERE & CO,244199105,1512562,17096886,0.013830368129466763
DIRECTV,25490A309,2718346,31353468,0.0248556593933098
GENERAL ELECTRIC CO,369604103,267496,10585502,0.002445895211673863
GENERAL MTRS CO,37045V100,1431311,41000000,0.013087435779660735
GOLDMAN SACHS GROUP INC,38141G104,2448370,12631531,0.022387087879467114
GRAHAM HLDGS CO,384637104,92914,107575,0.0008495749756910955
INTERNATIONAL BUSINESS MACHS,459200101,12349358,76971817,0.11291845709635401
JOHNSON & JOHNSON,478160104,34205,327100,0.00031275924019538416
KRAFT FOODS GROUP INC,50076Q106,12072,192666,0.00011038238700887815
LEE ENTERPRISES INC,523768109,327,88863,2.9899801650019182e-06
LIBERTY MEDIA CORP DELAWARE,531229102,141080,4000000,0.0012899889959586258
LIBERTY MEDIA CORP DELAWARE,531229300,280240,8000000,0.0025624221450768732
M & T BK CORP,55261F104,676093,5382040,0.006181971436381168
MASTERCARD INC,57636Q104,465243,5399756,0.00425402856851984
MEDIA GEN INC NEW,58441K100,77731,4646220,0.000710746630598667
MONDELEZ INTL INC,609207105,20996,578000,0.0001919805001357195
MOODYS CORP,615369105,2363611,24669778,0.02161207953449648
NATIONAL OILWELL VARCO INC,637071101,344582,5258385,0.0031507441749745904
NOW INC,67011P100,46972,1825569,0.00042949647801367006
PHILLIPS 66,718546104,470897,6567600,0.004305726879996662
PRECISION CASTPARTS CORP,740189105,687396,2853688,0.006285322340983665
PROCTER & GAMBLE CO,742718109,4808922,52793078,0.04397119692673197
RESTAURANT BRANDS INTL INC,76131D103,329428,8438225,0.003012180996318813
SANOFI,80105N105,178147,3905875,0.0016289174203504488
SUNCOR ENERGY INC NEW,867224107,710420,22354294,0.006495846204344535
TORCHMARK CORP,891027104,344181,6353727,0.0031470775632126153
TWENTY FIRST CENTY FOX INC,90130A101,182324,4747397,0.0016671105308985008
US BANCORP DEL,902973304,3600249,80094497,0.032919489599596306
U S G CORP,903293405,1091666,39002016,0.009981833904608514
UNITED PARCEL SERVICE INC,911312106,6603,59400,6.0375654524488276e-05
VERISIGN INC,92343E102,740145,12985000,0.006767641801912369
VERIZON COMMUNICATIONS INC,92343V104,701743,15000928,0.006416506577764346
VERISK ANALYTICS INC,92345Y106,100138,1563434,0.0009156288494280186
VIACOM INC NEW,92553P201,649723,8634190,0.005940852852432848
VISA INC,92826C839,657936,2509290,0.006015949816026612
WABCO HLDGS INC,92927K102,427117,4076325,0.00390541699735512
WAL MART STORES INC,931142103,5185887,60385293,0.047418040574744046
WELLS FARGO & CO NEW,949746101,25406775,463458123,0.23231117219164102
LIBERTY GLOBAL PLC,G5480U104,543034,10816324,0.0049653238193322685
LIBERTY GLOBAL PLC,G5480U120,354932,7346968,0.003245381161848504
