Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,2126489,45544854,0.014369606073710156
AMERICAN EXPRESS CO,025816109,11231321,151610700,0.07589489456911765
APPLE INC,037833100,6643394,57359652,0.04489228713266309
BANK OF NEW YORK MELLON CORP,064058100,1026818,21671969,0.006938653418566903
CHARTER COMMUNICATIONS INC N,16119P108,2718970,9443491,0.018373256492855455
COCA COLA CO,191216100,16584000,400000000,0.11206526209465896
COSTCO WHSL CORP NEW,22160K105,693815,4333363,0.004688408093355391
DAVITA HEALTHCARE PARTNERS I,23918K108,2475910,38565570,0.016730794927206166
DELTA AIR LINES INC DEL,247361702,2952679,60025995,0.019952529306343194
GENERAL ELECTRIC CO,369604103,334501,10585502,0.0022603679592333283
GENERAL MTRS CO,37045V100,1741999,50000000,0.011771440816668704
GOLDMAN SACHS GROUP INC,38141G104,2624257,10959519,0.017733239779832575
GRAHAM HLDGS CO,384637104,55073,107575,0.00037215208510245736
INTERNATIONAL BUSINESS MACHS,459200101,13483751,81232303,0.09111553846081281
JOHNSON & JOHNSON,478160104,37685,327100,0.000254653847204367
KRAFT HEINZ CO,500754106,28434432,325634818,0.19214375751282908
LIBERTY MEDIA CORP DELAWARE,531229409,347230,10058800,0.0023463833186884004
LIBERTY MEDIA CORP DELAWARE,531229607,754249,22236109,0.005096786774579982
M & T BK CORP,55261F104,841913,5382040,0.005689170345266559
MASTERCARD INC,57636Q104,509514,4934756,0.0034430065093402113
MONDELEZ INTL INC,609207105,25623,578000,0.00017314569528771383
MOSANTO CO NEW,61166W101,846076,8041784,0.005717301537144275
MOODYS CORP,615369105,2325620,24669778,0.015715220383054798
PHILLIPS 66,718546104,6972414,80689892,0.047115617603863326
PROCTER & GAMBLE CO,742718109,26519,315400,0.0001792003548895478
RESTAURANT BRANDS INTL INC,76131D103,402166,8438225,0.002717609635525845
SANOFI,80105N105,157953,3905875,0.0010673567500987498
SIRIUS XM HLDGS INC,82968B103,741547,166639941,0.005010953865804876
SOUTHWEST AIRLS CO,844741108,2153276,43203775,0.01455061742053418
TORCHMARK CORP,891027104,468651,6353727,0.0031668775413605894
TWENTY FIRST CENTY FOX INC,90130A101,251011,8951869,0.0016961899121829738
US BANCORP DEL,902973304,4369696,85063167,0.029527926164615463
U S G CORP,903293405,1126378,39002016,0.007611423407359971
UNITED CONTL HLDGS INC,910047109,2109975,28951353,0.01425801383189689
UNITED PARCEL SERVICE INC,911312106,6810,59400,4.601811594697464e-05
VERISIGN INC,92343E102,985315,12952745,0.006658199693728828
VERIZON COMMUNICATIONS INC,92343V104,50,928,3.378716295666273e-07
VERISK ANALYTICS INC,92345Y106,126904,1563434,0.0008575452255704655
VISA INC,92826C839,824083,10562460,0.0055686853221630995
WABCO HLDGS INC,92927K102,357555,3368394,0.002416153810193909
WAL MART STORES INC,931142103,96320,1393513,0.0006508759071971509
WELLS FARGO & CO NEW,949746101,26436503,479704270,0.17864288697306063
AXALTA COATING SYS LTD,G0750C108,634413,23324000,0.004287003082565055
LIBERTY GLOBAL PLC,G5480U104,617334,20180897,0.004171592891337686
LIBERTY GLOBAL PLC,G5480U120,218205,7346968,0.0014745055785917182
LIBERTY GLOBAL PLC,G5480U138,59618,2714854,0.0004028646162300638
LIBERTY GLOBAL PLC,G5480U153,27183,1284020,0.0001836872901301926
