Name of Issuer,CUSIP,Value,Shares,Ratio
AT&T INC,00206R102,1602719,46577138,0.012155113456897251
AMERICAN EXPRESS CO,025816109,10544524,151610700,0.0799702789877552
BANK OF NEW YORK MELLON CORP,064058100,829026,20112212,0.006287381062255892
CHARTER COMMUNICATIONS INC D,16117M305,1882561,10281603,0.014277451346449345
COCA COLA CO,191216100,17184000,400000000,0.13032444841754692
COSTCO WHSL CORP NEW,22160K105,699838,4333363,0.005307611809336545
DAVITA HEALTHCARE PARTNERS I,23918K108,2688406,38565570,0.02038902636594644
DEERE & CO,244199105,1745375,22884150,0.01323702479962616
GENERAL ELECTRIC CO,369604103,329739,10585502,0.002500759619224482
GENERAL MTRS CO,37045V100,1700501,50000000,0.012896697792044165
GOLDMAN SACHS GROUP INC,38141G104,1975234,10959519,0.014980288730539157
GRAHAM HLDGS CO,384637104,52171,107575,0.00039566787700138736
INTERNATIONAL BUSINESS MACHS,459200101,11151823,81033450,0.08457606967674076
JOHNSON & JOHNSON,478160104,33600,327100,0.00025482434048123697
KINDER MORGAN INC DEL,49456B101,395880,26533525,0.003002376783027146
KRAFT HEINZ CO,500754106,23693189,325634818,0.17969051371494937
LEE ENTERPRISES INC,523768109,149,88863,1.1300246051102472e-06
LIBERTY MEDIA CORP DELAWARE,531229102,306150,7800000,0.0023218592809026994
LIBERTY MEDIA CORP DELAWARE,531229300,585909,15386257,0.004443567693661342
M & T BK CORP,55261F104,652195,5382040,0.004946284545838106
MASTERCARD INC,57636Q104,509169,5229756,0.003861567101740802
MEDIA GEN INC NEW,58441K100,56062,3471309,0.00042517744571604485
MONDELEZ INTL INC,609207105,25918,578000,0.0001965636088271637
MOODYS CORP,615369105,2475366,24669778,0.01877331870237136
NOW INC,67011P100,28880,1825569,0.00021902758788982512
PHILLIPS 66,718546104,5029632,61486926,0.03814501956140848
PRECISION CASTPARTS CORP,740189105,974626,4200792,0.007391619871007919
PROCTER & GAMBLE CO,742718109,4192298,52793078,0.0317946301473455
RESTAURANT BRANDS INTL INC,76131D103,315252,8438225,0.002390889374565206
SANOFI,80105N105,166586,3905875,0.0012633978447442662
SUNCOR ENERGY INC NEW,867224107,774000,30000000,0.005870060700371352
TORCHMARK CORP,891027104,363180,6353727,0.0027543780945230847
TWENTY FIRST CENTY FOX INC,90130A101,243133,8951869,0.001843934713518589
US BANCORP DEL,902973304,3629646,85063167,0.02752744488483214
U S G CORP,903293405,947359,39002016,0.007184825368272744
UNITED PARCEL SERVICE INC,911312106,5716,59400,4.335047411281996e-05
VERISIGN INC,92343E102,1134370,12985000,0.008603127592610142
VERIZON COMMUNICATIONS INC,92343V104,693343,15000928,0.005258353354234592
VERISK ANALYTICS INC,92345Y106,120197,1563434,0.0009115809896673584
VISA INC,92826C839,766594,9885160,0.005813893168656946
WABCO HLDGS INC,92927K102,340650,3331215,0.0025835092733611123
WAL MART STORES INC,931142103,3444158,56185293,0.02612069318045167
WELLS FARGO & CO NEW,949746101,26076724,479704270,0.19776738080985845
AXALTA COATING SYS LTD,G0750C108,621585,23324000,0.004714136538036598
LIBERTY GLOBAL PLC,G5480U104,531377,12544296,0.004029993856306496
LIBERTY GLOBAL PLC,G5480U120,299536,7346968,0.0022716983229282084
LIBERTY GLOBAL PLC,G5480U138,21394,517139,0.00016225333155522572
LIBERTY GLOBAL PLC,G5480U153,15796,367348,0.00011979777625719105
