Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,13272002,151610700,0.1231336046632745
BANK OF NEW YORK MELLON CORP,064058100,905413,23377603,0.008400146895622029
CHARTER COMMUNICATIONS INC D,16117M305,749296,4950096,0.006951740772776626
CHICAGO BRIDGE & IRON CO N V,167250109,619059,10701110,0.005743441431763049
COCA COLA CO,191216100,17064001,400000000,0.15831461998783009
CONOCOPHILLIPS,20825C104,36117,471994,0.00033508255948299926
COSTCO WHSL CORP NEW,22160K105,543057,4333363,0.005038317952907471
DAVITA HEALTHCARE PARTNERS I,23918K108,2751611,37621152,0.025528611362559878
DIRECTV,25490A309,2595600,30000000,0.02408118867552878
EXPRESS SCRIPTS HLDG CO,30219G108,31747,449489,0.00029453902638388506
EXXON MOBIL CORP,30231G102,3868243,41129643,0.0358883840059306
GENERAL ELECTRIC CO,369604103,271200,10585502,0.002516111253199031
GENERAL MTRS CO,37045V100,1277600,40000000,0.01185318487126505
GOLDMAN SACHS GROUP INC,38141G104,2318769,12631531,0.021512834714118967
GRAHAM HLDGS CO,384637104,75259,107575,0.0006982301504590924
INTERNATIONAL BUSINESS MACHS,459200101,13378840,70478012,0.12412481518712877
JOHNSON & JOHNSON,478160104,34866,327100,0.0003234761613349462
KRAFT FOODS GROUP INC,50076Q106,10866,192666,0.0001008114486624656
LEE ENTERPRISES INC,523768109,300,88863,2.7833089084060077e-06
LIBERTY MEDIA CORP DELAWARE,531229102,188720,4000000,0.001750886857314606
LIBERTY MEDIA CORP DELAWARE,531229300,375920,8000000,0.0034876716161599546
M & T BK CORP,55261F104,663552,5382040,0.006156233975968744
MASTERCARD INC,57636Q104,348562,4715400,0.0032338523991060496
MEDIA GEN INC,584404107,60912,4646220,0.0005651230407627558
MONDELEZ INTL INC,609207105,19805,578000,0.00018374477643660328
MOODYS CORP,615369105,2331294,24669778,0.021629037861044916
NATIONAL OILWELL VARCO INC,637071101,485698,6382360,0.004506158567316604
NOW INC,67011P100,55515,1825569,0.0005150513135005317
PHILLIPS 66,718546104,504317,6202400,0.004678899995868642
PRECISION CASTPARTS CORP,740189105,493237,2082222,0.004576103120184846
PROCTER & GAMBLE CO,742718109,4420893,52793078,0.041015702900032536
SANOFI,80105N105,220410,3905875,0.002044897055005894
SUNCOR ENERGY INC NEW,867224107,667970,18477730,0.006197222838493203
TORCHMARK CORP,891027104,332745,6353727,0.0030871070757585235
US BANCORP DEL,902973304,3350353,80094497,0.03108355783734931
U S G CORP,903293405,1072166,39002016,0.009947230596966785
UNITED PARCEL SERVICE INC,911312106,5838,59400,5.416319135758091e-05
VERISIGN INC,92343E102,715733,12985000,0.006640353449800523
VERIZON COMMUNICATIONS INC,92343V104,749897,15000928,0.006957316668289799
VERISK ANALYTICS INC,92345Y106,95197,1563434,0.0008832088605117557
VIACOM INC NEW,92553P201,593069,7708200,0.005502314103331475
VISA INC,92826C839,457954,2146290,0.004248758159467216
WABCO HLDGS INC,92927K102,370742,4076325,0.003439631704400867
WAL MART STORES INC,931142103,4617663,60385293,0.042841275213056036
WELLS FARGO & CO NEW,949746101,24039574,463458123,0.2230318682282848
LIBERTY GLOBAL PLC,G5480U104,442459,10401007,0.004105000254348045
LIBERTY GLOBAL PLC,G5480U120,301336,7346968,0.0027957039107447757
