Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,13649511,151610700,0.12904568338306183
BANK OF NEW YORK MELLON CORP,064058100,869997,24652836,0.008225156007875567
CHICAGO BRIDGE & IRON CO N V,167250109,832348,9550755,0.007869213517797432
COCA COLA CO,191216100,15464001,400000000,0.14620029808257243
CONOCOPHILLIPS,20825C104,779475,11079958,0.00736933975546905
COSTCO WHSL CORP NEW,22160K105,483950,4333363,0.004575376984071647
DAVITA HEALTHCARE PARTNERS I,23918K108,2590216,37621152,0.0244885105283069
DEERE & CO,244199105,361272,3978767,0.003415550353940556
DIRECTV,25490A309,2637614,34514700,0.02493662235451008
EXXON MOBIL CORP,30231G102,4017544,41129643,0.03798280473209038
GENERAL ELECTRIC CO,369604103,274059,10585502,0.0025910181648469708
GENERAL MTRS CO,37045V100,1032600,30000000,0.009762442966737023
GOLDMAN SACHS GROUP INC,38141G104,2069676,12631531,0.019567203088925445
GRAHAM HLDGS CO,384637104,1215915,1727765,0.011495546039027743
INTERNATIONAL BUSINESS MACHS,459200101,13157670,68355084,0.12439570303132552
JOHNSON & JOHNSON,478160104,32131,327100,0.0003037740218518568
KRAFT FOODS GROUP INC,50076Q106,10809,192666,0.0001021908251282786
LEE ENTERPRISES INC,523768109,397,88863,3.753331258759053e-06
LIBERTY MEDIA CORP DELAWARE,531229102,692869,5300000,0.006550546286965054
M & T BK CORP,55261F104,652842,5382040,0.006172121626274
MASTERCARD INC,57636Q104,302535,4050000,0.0028602369581074813
MEDIA GEN INC,584404107,85351,4646220,0.0008069284036935616
MONDELEZ INTL INC,609207105,19970,578000,0.00018880107112699822
MOODYS CORP,615369105,1956807,24669778,0.01850011304901392
NATIONAL OILWELL VARCO INC,637071101,691486,8880000,0.006537471080086304
PHILLIPS 66,718546104,750664,9741303,0.00709695379351412
PRECISION CASTPARTS CORP,740189105,499792,1977336,0.004725150973495478
PROCTER & GAMBLE CO,742718109,4255122,52793078,0.0402289229532326
SANOFI,80105N105,204199,3905875,0.0019305453141242818
STARZ,85571Q102,61963,1919541,0.0005858127576485824
SUNCOR ENERGY INC NEW,867224107,454480,13000000,0.004296760681311875
TORCHMARK CORP,891027104,333359,4235818,0.0031516542949336502
US BANCORP DEL,902973304,3429944,80026697,0.032427496299730636
U S G CORP,903293405,1141607,34890174,0.0107930207514311
UNITED PARCEL SERVICE INC,911312106,5784,59400,5.468329471199588e-05
VERISIGN INC,92343E102,629974,11685654,0.0059559221823815515
VERIZON COMMUNICATIONS INC,92343V104,524352,11022743,0.004957346982853468
VERISK ANALYTICS INC,92345Y106,93744,1563434,0.0008862777972823896
VIACOM INC NEW,92553P201,646535,7607200,0.006112493766704747
VISA INC,92826C839,335761,1555459,0.003174363367184379
WABCO HLDGS INC,92927K102,430297,4076325,0.004068128918514469
WAL MART STORES INC,931142103,4436946,58052412,0.04194792976127442
WELLS FARGO & CO NEW,949746101,23052408,463458123,0.21794288044349439
LIBERTY GLOBAL PLC,G5480U104,305634,7346968,0.002889535632089583
LIBERTY GLOBAL PLC,G5480U120,299095,7346968,0.002827714390021509
