Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,11783184,151610700,0.10993578471470486
BANK OF NEW YORK MELLON CORP,064058100,867957,20680420,0.008097941430229816
CHARTER COMMUNICATIONS INC D,16117M305,1458139,8514678,0.013604273275212797
CHICAGO BRIDGE & IRON CO N V,167250109,466719,9326921,0.004354435906819612
COCA COLA CO,191216100,15692001,400000000,0.14640460877797828
COSTCO WHSL CORP NEW,22160K105,585264,4333363,0.005460447456754221
DAVITA HEALTHCARE PARTNERS I,23918K108,3064805,38565570,0.0285942867965527
DEERE & CO,244199105,1679944,17310090,0.01567368903997087
DIRECTV,25490A309,2909288,31353468,0.027143330634663284
GENERAL ELECTRIC CO,369604103,281257,10585502,0.0026240962545865144
GENERAL MTRS CO,37045V100,1366530,41000000,0.012749571583214318
GOLDMAN SACHS GROUP INC,38141G104,2637337,12631531,0.024606058315997235
GRAHAM HLDGS CO,384637104,115649,107575,0.0010789921948491088
INTERNATIONAL BUSINESS MACHS,459200101,12942062,79565115,0.12074798643527612
JOHNSON & JOHNSON,478160104,31879,327100,0.00029742749336003545
KRAFT FOODS GROUP INC,50076Q106,16404,192666,0.00015304747956579635
LEE ENTERPRISES INC,523768109,296,88863,2.7616467905069323e-06
LIBERTY MEDIA CORP DELAWARE,531229102,144160,4000000,0.0013449966260793223
LIBERTY MEDIA CORP DELAWARE,531229300,287200,8000000,0.002679543777816186
M & T BK CORP,55261F104,672379,5382040,0.006273220632953584
MASTERCARD INC,57636Q104,488878,5229756,0.004561176890707595
MEDIA GEN INC NEW,58441K100,76756,4646220,0.000716124868419426
MONDELEZ INTL INC,609207105,23779,578000,0.0002218554021333255
MOODYS CORP,615369105,2663349,24669778,0.02484874735760084
NOW INC,67011P100,36348,1825569,0.00033912276196400667
PRECISION CASTPARTS CORP,740189105,839612,4200792,0.00783348576037536
PROCTER & GAMBLE CO,742718109,4130531,52793078,0.03853739080824118
RESTAURANT BRANDS INTL INC,76131D103,322425,8438225,0.0030081890757743166
SANOFI,80105N105,193458,3905875,0.0018049414351280072
SUNCOR ENERGY INC NEW,867224107,615191,22354294,0.005739663009117399
TORCHMARK CORP,891027104,369915,6353727,0.0034512654476701755
TWENTY FIRST CENTY FOX INC,90130A101,202693,6228097,0.0018911029490142623
US BANCORP DEL,902973304,3691742,85063167,0.034443538667836636
U S G CORP,903293405,1083866,39002016,0.01011234817648509
UNITED PARCEL SERVICE INC,911312106,5756,59400,5.3702834209992915e-05
VERISIGN INC,92343E102,801434,12985000,0.0074772893037268005
VERIZON COMMUNICATIONS INC,92343V104,699193,15000928,0.006523392244577411
VERISK ANALYTICS INC,92345Y106,113755,1563434,0.0010613213873449869
VIACOM INC NEW,92553P201,365004,5646721,0.0034054463686560552
VISA INC,92826C839,663788,9885160,0.006193067566814242
WABCO HLDGS INC,92927K102,467315,3777195,0.004359996519951849
WAL MART STORES INC,931142103,4283129,60385293,0.03996111302762557
WELLS FARGO & CO NEW,949746101,26449243,470292359,0.24676846973745928
AXALTA COATING SYS LTD,G0750C108,661600,20000000,0.0061726537722952245
LIBERTY GLOBAL PLC,G5480U104,559234,10342793,0.0052175904771701144
LIBERTY GLOBAL PLC,G5480U120,371977,7346968,0.0034705036763256663
