Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,13755639,151610700,0.13121028265388213
BANK OF NEW YORK MELLON CORP,064058100,861370,24652836,0.008216310501429592
CHICAGO BRIDGE & IRON CO N V,167250109,794050,9550755,0.007574168305908224
COCA COLA CO,191216100,16524000,400000000,0.15761672071888105
CONOCOPHILLIPS,20825C104,782799,11079958,0.007466848908376868
COSTCO WHSL CORP NEW,22160K105,515757,4333363,0.004919627634217377
DAVITA HEALTHCARE PARTNERS I,23918K108,2310552,36461294,0.02203955635986759
DEERE & CO,244199105,363381,3978767,0.003466165673659387
DIRECTV,25490A309,2521705,36514700,0.024053671793779104
EXXON MOBIL CORP,30231G102,4162320,41129643,0.03970293082683448
GENERAL ELECTRIC CO,369604103,296712,10585502,0.0028302331419717158
GENERAL MTRS CO,37045V100,1634800,40000000,0.0155937917593335
GOLDMAN SACHS GROUP INC,38141G104,2239065,12631531,0.021357666592618094
GRAHAM HLDGS CO,384637104,1146062,1727765,0.01093188902084981
INTERNATIONAL BUSINESS MACHS,459200101,12777641,68121984,0.12188149799946284
JOHNSON & JOHNSON,478160104,29959,327100,0.0002857685388536043
KRAFT FOODS GROUP INC,50076Q106,10387,192666,9.90780003695847e-05
LEE ENTERPRISES INC,523768109,308,88863,2.937905469705602e-06
LIBERTY MEDIA CORP DELAWARE,531229102,775347,5300000,0.0073957668578565885
M & T BK CORP,55261F104,626576,5382040,0.005976691745409926
MASTERCARD INC,57636Q104,338361,405000,0.0032275085475164194
MEDIA GEN INC,584404107,105005,4646220,0.0010016063761247944
MONDELEZ INTL INC,609207105,20403,578000,0.00019461716005975127
MOODYS CORP,615369105,1935837,24669778,0.018465279580384686
NATIONAL OILWELL VARCO INC,637071101,706226,8880000,0.006736445546260741
PHILLIPS 66,718546104,2095153,27163918,0.019984939800552274
PRECISION CASTPARTS CORP,740189105,532496,1977336,0.005079295165572578
PROCTER & GAMBLE CO,742718109,4297885,52793078,0.040996038472940456
SANOFI,80105N105,209472,3905875,0.0019980809563317267
STARZ,85571Q102,132804,4541881,0.0012667714220739698
SUNCOR ENERGY INC NEW,867224107,455650,13000000,0.004346287750881031
TORCHMARK CORP,891027104,331029,4235818,0.00315757113549083
US BANCORP DEL,902973304,3204565,79320901,0.03056723714781536
U S G CORP,903293405,990184,34890174,0.009445022693555103
UNITED PARCEL SERVICE INC,911312106,6242,59400,5.954027903215054e-05
VERISIGN INC,92343E102,655280,10961520,0.006250489273339892
VERISK ANALYTICS INC,92345Y106,102749,1563434,0.0009800871724246131
VIACOM INC NEW,92553P201,664412,7607200,0.006337596262785838
VISA INC,92826C839,346370,1555459,0.0033039036283828874
WABCO HLDGS INC,92927K102,380770,4076325,0.003632033330194162
WAL MART STORES INC,931142103,3893875,49483733,0.037142326820941235
WELLS FARGO & CO NEW,949746101,21040998,463458123,0.2007028023125475
LIBERTY GLOBAL PLC,G5480U104,262397,2948285,0.002502914225760847
