Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,2393379,46000000,0.012514877888382844
AMERICAN EXPRESS CO,025816109,15056458,151610700,0.07872958411583163
APPLE INC,037833100,27979467,165333962,0.14630345335487505
BANK AMER CORP,060505104,20044080,679000000,0.10480964928035919
BANK OF NEW YORK MELLON CORP,064058100,3275697,60818783,0.017128481512682286
CHARTER COMMUNICATIONS INC N,16119P108,2852096,8489391,0.01491348974230373
COCA COLA CO,191216100,18352001,400000000,0.09596183952582514
COSTCO WHSL CORP NEW,22160K105,806526,4333363,0.00421729045161918
DAVITA HEALTHCARE PARTNERS I,23918K108,2786362,38565570,0.014569769427587606
DELTA AIR LINES INC DEL,247361702,2974182,53110395,0.015551872289272305
GENERAL MTRS CO,37045V100,2049500,50000000,0.01071674909499943
GOLDMAN SACHS GROUP INC,38141G104,2792047,10959519,0.01459949605291333
GRAHAM HLDGS CO,384637104,60065,107575,0.000314077352715853
INTERNATIONAL BUSINESS MACHS,459200101,314211,2048045,0.0016429960721585097
JOHNSON & JOHNSON,478160104,45702,327100,0.00023897383124648152
KRAFT HEINZ CO,500754106,25321363,325634818,0.13240433960205028
LIBERTY MEDIA CORP DELAWARE,531229409,589362,14860360,0.0030817490510500383
LIBERTY MEDIA CORP DELAWARE,531229607,1233068,31090985,0.006447660587007932
M & T BK CORP,55261F104,920275,5382040,0.00481207917706787
MASTERCARD INC,57636Q104,746925,4934756,0.0039056393353415217
MONDELEZ INTL INC,609207105,24738,578000,0.000129353959069088
MOSANTO CO NEW,61166W101,1367348,11708747,0.0071498050458888894
MOODYS CORP,615369105,3641506,24669778,0.019041281351517437
PHILLIPS 66,718546104,8161782,80689892,0.042677613984914674
PROCTER & GAMBLE CO,742718109,28979,315400,0.00015152996927249985
RESTAURANT BRANDS INTL INC,76131D103,518782,8438225,0.0027126892066367376
SANOFI,80105N105,166777,3878524,0.0008720699018378726
SIRIUS XM HLDGS INC,82968B103,739228,137915729,0.003865392046839833
SOUTHWEST AIRLS CO,844741108,3119312,47659456,0.016310750940727425
STORE CAP CORP,862121100,484908,18621674,0.0025355634887328535
SYNCHRONY FINL,87165B103,803203,20803000,0.004199914624713748
TEVA PHARMACEUTICAL INDS LTD,881624209,357695,18875721,0.001870372074913794
TORCHMARK CORP,891027104,576346,6353727,0.0030136889357924085
US BANCORP DEL,902973304,4664615,87058877,0.024391075179200177
U S G CORP,903293405,1503918,39002016,0.007863923818225592
UNITED CONTL HLDGS INC,910047109,1901459,28211563,0.009942648947269343
UNITED PARCEL SERVICE INC,911312106,7078,59400,3.7010563598148795e-05
VERISIGN INC,92343E102,1482312,12952745,0.007750946955114317
VERIZON COMMUNICATIONS INC,92343V104,49,928,2.562189342058902e-07
VERISK ANALYTICS INC,92345Y106,150090,1563434,0.0007848142823461646
VISA INC,92826C839,1204332,10562460,0.006297401254490779
WAL MART STORES INC,931142103,137610,1393513,0.0007195568884912766
WELLS FARGO & CO NEW,949746101,27800952,458232268,0.14537000594590024
AXALTA COATING SYS LTD,G0750C108,754765,23324000,0.003946634364814464
LIBERTY GLOBAL PLC,G5480U104,723283,20180897,0.0037820163140661
LIBERTY GLOBAL PLC,G5480U120,248621,7346968,0.0013000287273714822
LIBERTY GLOBAL PLC,G5480U138,54704,2714854,0.00028604490973059224
LIBERTY GLOBAL PLC,G5480U153,25539,1284020,0.00013354235429967817
