Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN EXPRESS CO,025816109,9308898,151610700,0.07240354777693667
APPLE INC,037833100,1069382,9811747,0.008317531326349917
BANK OF NEW YORK MELLON CORP,064058100,767066,20827212,0.005966151931094712
CHARTER COMMUNICATIONS INC D,16117M305,2090455,10326803,0.016259320756123456
COCA COLA CO,191216100,18556000,400000000,0.14432645330831176
COSTCO WHSL CORP NEW,22160K105,682851,4333363,0.0053111372584627075
DAVITA HEALTHCARE PARTNERS I,23918K108,2829941,38565570,0.022010958590309177
DEERE & CO,244199105,1792404,23280994,0.013941114044817376
GENERAL ELECTRIC CO,369604103,336514,10585502,0.002617367541959109
GENERAL MTRS CO,37045V100,1571500,50000000,0.012222947907631598
GOLDMAN SACHS GROUP INC,38141G104,1720425,10959519,0.01338126958573789
GRAHAM HLDGS CO,384637104,51636,107575,0.0004016189234225041
INTERNATIONAL BUSINESS MACHS,459200101,12302631,81232303,0.09568846187706881
JOHNSON & JOHNSON,478160104,35392,327100,0.0002752749426324515
KINDER MORGAN INC DEL,49456B101,473889,26533525,0.003685854636334477
KRAFT HEINZ CO,500754106,25581871,325634818,0.19897287725914825
LEE ENTERPRISES INC,523768109,160,88863,1.2444617659694915e-06
LIBERTY MEDIA CORP DELAWARE,531229102,386300,10000000,0.003004597376212591
LIBERTY MEDIA CORP DELAWARE,531229300,761800,20000000,0.005925193583222241
M & T BK CORP,55261F104,597406,5382040,0.004646555786004813
MASTERCARD INC,57636Q104,466334,4934756,0.003627092707322605
MEDIA GEN INC NEW,58441K100,56617,3471309,0.00044036057377434183
MONDELEZ INTL INC,609207105,23189,578000,0.00018036139931916584
MOODYS CORP,615369105,2382113,24669778,0.01852780344199302
NOW INC,67011P100,32349,1825569,0.00025160683542091927
PHILLIPS 66,718546104,6541939,75550745,0.0508824560050293
PROCTER & GAMBLE CO,742718109,25961,315400,0.0002019216994145873
RESTAURANT BRANDS INTL INC,76131D103,327656,8438225,0.002548471027440623
SANOFI,80105N105,156859,3905875,0.0012200314259263028
SUNCOR ENERGY INC NEW,867224107,834299,30000000,0.00648908254304113
TORCHMARK CORP,891027104,344118,6353727,0.002676510587386809
TWENTY FIRST CENTY FOX INC,90130A101,249578,8951869,0.0019411892414195858
US BANCORP DEL,902973304,3452714,85063167,0.026854816011422415
U S G CORP,903293405,967640,39002016,0.0075261936451419915
UNITED PARCEL SERVICE INC,911312106,6265,59400,4.87284560237429e-05
VERISIGN INC,92343E102,1149692,12985000,0.008942173354006228
VERIZON COMMUNICATIONS INC,92343V104,811250,15000928,0.006309810047767187
VERISK ANALYTICS INC,92345Y106,124950,1563434,0.0009718468603617998
VISA INC,92826C839,783091,10239160,0.006090792554842594
WABCO HLDGS INC,92927K102,346110,3237094,0.0026920041363731294
WAL MART STORES INC,931142103,3783104,55235863,0.029424551779289043
WELLS FARGO & CO NEW,949746101,23198499,479704270,0.18043528145863424
AXALTA COATING SYS LTD,G0750C108,681061,23324000,0.005297214842455924
LIBERTY GLOBAL PLC,G5480U104,599732,15577436,0.004664647148927594
LIBERTY GLOBAL PLC,G5480U120,275952,7346968,0.0021463232077675817
LIBERTY GLOBAL PLC,G5480U138,18131,517139,0.00014102085174245532
LIBERTY GLOBAL PLC,G5480U153,13915,367348,0.00010822928420915921
