Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,797020,21770555,0.006188662825029617
AMERICAN EXPRESS CO,025816109,9709150,151610700,0.07538914414649106
APPLE INC,037833100,1721492,15227702,0.013366958851704957
BANK OF NEW YORK MELLON CORP,064058100,842932,21136712,0.00654515812956747
CHARTER COMMUNICATIONS INC N,16119P108,2549459,9443491,0.01979591746410025
COCA COLA CO,191216100,16928001,400000000,0.13144173357100722
COSTCO WHSL CORP NEW,22160K105,660881,4333363,0.005131577220732727
DAVITA HEALTHCARE PARTNERS I,23918K108,2548027,38565570,0.019784798338902083
DEERE & CO,244199105,1799610,21085061,0.013973525766670282
DELTA AIR LINES INC DEL,247361702,249303,6333923,0.001935776026032419
GENERAL ELECTRIC CO,369604103,313541,10585502,0.002434568179998759
GENERAL MTRS CO,37045V100,1588501,50000000,0.012334316687438673
GOLDMAN SACHS GROUP INC,38141G104,1767441,10959519,0.013723741452075444
GRAHAM HLDGS CO,384637104,51783,107575,0.0004020821648998879
INTERNATIONAL BUSINESS MACHS,459200101,12903752,81232303,0.10019443716067547
JOHNSON & JOHNSON,478160104,38640,327100,0.0003000300262968864
KINDER MORGAN INC DEL,49456B101,462600,20000000,0.003591974383150612
KRAFT HEINZ CO,500754106,29147573,325634818,0.226323682548665
LEE ENTERPRISES INC,523768109,333,88863,2.5856624937076387e-06
LIBERTY MEDIA CORP DELAWARE,531229409,341799,10058800,0.0026539845486089407
LIBERTY MEDIA CORP DELAWARE,531229607,742909,22236109,0.005768504316930476
LIBERTY MEDIA CORP DELAWARE,531229854,89740,3189041,0.0006968088654213919
LIBERTY MEDIA CORP DELAWARE,531229870,37131,1296013,0.0002883130151767518
M & T BK CORP,55261F104,624856,5382040,0.004851852021526068
MASTERCARD INC,57636Q104,502210,4934756,0.0038995362191138537
MONDELEZ INTL INC,609207105,25374,578000,0.00019702282316918208
MOODYS CORP,615369105,2671244,24669778,0.020741547814839546
NOW INC,67011P100,39122,1825569,0.0003037726368733641
PHILLIPS 66,718546104,6499571,80689892,0.050467558438107664
PROCTER & GAMBLE CO,742718109,28307,315400,0.000219796841469616
RESTAURANT BRANDS INTL INC,76131D103,376176,8438225,0.0029209134361350294
SANOFI,80105N105,149165,3905875,0.0011582292668885885
TORCHMARK CORP,891027104,405940,6353727,0.0031520235216086455
TWENTY FIRST CENTY FOX INC,90130A101,216814,8951869,0.001683506990722907
US BANCORP DEL,902973304,3648359,85063167,0.02832860369333546
U S G CORP,903293405,1008202,39002016,0.007828438731174262
UNITED CONTL HLDGS INC,910047109,237847,4533013,0.0018468230244470894
UNITED PARCEL SERVICE INC,911312106,6496,59400,5.043983050788235e-05
VERISIGN INC,92343E102,1013423,12952745,0.007868978502584615
VERIZON COMMUNICATIONS INC,92343V104,779748,15000928,0.006054550024455087
VERISK ANALYTICS INC,92345Y106,127076,1563434,0.0009867136548059817
VISA INC,92826C839,873516,10562460,0.006782635311872438
WABCO HLDGS INC,92927K102,382414,3368394,0.0029693499605667056
WAL MART STORES INC,931142103,935510,12971574,0.007264003361827127
WELLS FARGO & CO NEW,949746101,21241306,479704270,0.164933478202904
AXALTA COATING SYS LTD,G0750C108,659369,23324000,0.005119836915355893
LIBERTY GLOBAL PLC,G5480U104,689783,20180897,0.00535599408978119
LIBERTY GLOBAL PLC,G5480U120,242744,7346968,0.0018848470161338352
LIBERTY GLOBAL PLC,G5480U138,74903,2714854,0.0005816032365350849
LIBERTY GLOBAL PLC,G5480U153,36017,1284020,0.00027966308118879287
