Name of Issuer,CUSIP,Value,Shares,Ratio
AMAZON COM INC,023135106,992844,537300,0.004101801524512732
AMERICAN AIRLS GROUP INC,02376R102,1218900,42500000,0.0050357215012918136
AMERICAN EXPRESS CO,025816109,18874016,151610700,0.07797545999419618
APPLE INC,037833100,71989933,245155566,0.29741673105640914
BANK AMER CORP,060505104,32578803,925008600,0.13459494524033985
BANK OF NEW YORK MELLON CORP,064058100,4014575,79765057,0.016585676959593555
BIOGEN INC,09062X103,192414,648447,0.0007949325760518198
CHARTER COMMUNICATIONS INC N,16119P108,2632339,5426609,0.010875154730485677
COCA COLA CO,191216100,22140000,400000000,0.09146843386545309
COSTCO WHSL CORP NEW,22160K105,1273662,4333363,0.005261963342996418
DAVITA HEALTHCARE PARTNERS I,23918K108,2893575,38565570,0.0119544161482488
DELTA AIR LINES INC DEL,247361702,4146844,70910456,0.017132128553042046
GENERAL MTRS CO,37045V100,2745000,75000000,0.011340598507708613
GLOBE LIFE INC,37959E102,668730,6353727,0.002762768102025494
GOLDMAN SACHS GROUP INC,38141G104,2760252,12004751,0.011403610095482592
JPMORGAN CHASE & CO,46625H100,8296382,59514932,0.034275387004947394
JOHNSON & JOHNSON,478160104,47714,327100,0.0001971239771208775
KRAFT HEINZ CO,500754106,10462647,325634818,0.04322501965569472
KROGER CO,501044101,549073,18940079,0.002268421291228813
LIBERTY MEDIA CORP DELAWARE,531229409,718350,14860360,0.002967766461935331
LIBERTY MEDIA CORP DELAWARE,531229607,1496721,31090985,0.0061835016171424935
M & T BK CORP,55261F104,913602,5382040,0.003774423853493481
MASTERCARD INC,57636Q104,1473469,4934756,0.006087439104755885
MONDELEZ INTL INC,609207105,31836,578000,0.00013152615449596046
MOODYS CORP,615369105,5856852,24669778,0.024196796739916288
OCCIDENTAL PETE CORP,674599105,780231,18933054,0.003223419495179599
PNC FINL SVCS GROUP INC,693475105,1384160,8671054,0.005718470976477215
PHILLIPS 66,718546104,25339,227436,0.00010468467234492843
PROCTER & GAMBLE CO,742718109,39393,315400,0.00016274688415816591
RH,74967X103,364732,1708348,0.0015068412294767133
RESTAURANT BRANDS INTL INC,76131D103,538106,8438225,0.002223112604950474
SPDR S&P 500 ETF TR,78462F103,12681,39400,5.2389846876594875e-05
SIRIUS XM HLDGS INC,82968B103,974372,136275729,0.00402548693958217
SOUTHWEST AIRLS CO,844741108,2895985,53649213,0.011964372739288354
STORE CAP CORP,862121100,693471,18621674,0.0028649822177556285
SUNCOR ENERGY INC NEW,867224107,492624,15019031,0.00203520983579652
SYNCHRONY FINL,87165B103,749116,20803000,0.003094872055264352
TEVA PHARMACEUTICAL INDS LTD,881624209,423843,43249295,0.0017510503800738588
TRAVELERS COMPANIES INC,89417E109,42780,312379,0.00017673981936603807
US BANCORP DEL,902973304,7853532,132459618,0.032445811759359504
UNITED CONTL HLDGS INC,910047109,1932575,21938642,0.00798417382915664
UNITED PARCEL SERVICE INC,911312106,6953,59400,2.872538485395191e-05
VANGUARD INDEX FDS,922908363,12719,43000,5.254683876850487e-05
VERISIGN INC,92343E102,2495735,12952745,0.010310793667262716
VISA INC,92826C839,1984686,10562460,0.008199463420717734
WELLS FARGO & CO NEW,949746101,17388855,323212918,0.07183971696311893
AXALTA COATING SYS LTD,G0750C108,737626,24264000,0.0030474026647894625
LIBERTY GLOBAL PLC,G5480U104,450047,19791000,0.0018593086836425276
LIBERTY GLOBAL PLC,G5480U120,160127,7346968,0.0006615431756808223
STONECO LTD,G85158106,565112,14166748,0.002334684263711559
LIBERTY LATIN AMERICA LTD,G9001E102,52397,2714854,0.0002164711621159957
LIBERTY LATIN AMERICA LTD,G9001E128,24987,1284020,0.00010323043166197273
