Name of Issuer,CUSIP,Value,Shares,Ratio
AMERICAN AIRLS GROUP INC,02376R102,1806121,43700000,0.008171747143248373
AMERICAN EXPRESS CO,025816109,16145025,151610700,0.07304774260496588
APPLE INC,037833100,56994561,252478779,0.2578703979591872
BANK AMER CORP,060505104,25843745,877248600,0.1169293471337687
BANK OF NEW YORK MELLON CORP,064058100,3969546,77849476,0.017960106872957578
CHARTER COMMUNICATIONS INC N,16119P108,2392280,7340985,0.010823808181096515
COCA COLA CO,191216100,18476000,400000000,0.08359417791978331
COSTCO WHSL CORP NEW,22160K105,1017820,4333363,0.004605099922619282
DAVITA HEALTHCARE PARTNERS I,23918K108,2762452,38565570,0.012498641696409464
DELTA AIR LINES INC DEL,247361702,3789889,65535000,0.017147253483558653
GENERAL MTRS CO,37045V100,1766376,52461411,0.00799192193208677
GOLDMAN SACHS GROUP INC,38141G104,4115619,18353635,0.01862101033427369
JPMORGAN CHASE & CO,46625H100,4024412,35664767,0.0182083466524416
JOHNSON & JOHNSON,478160104,45195,327100,0.00020448359336894386
KRAFT HEINZ CO,500754106,17945735,325634818,0.0811950078204851
LIBERTY MEDIA CORP DELAWARE,531229409,645535,14860360,0.002920706194167965
LIBERTY MEDIA CORP DELAWARE,531229607,1350903,31090985,0.00611212522918213
M & T BK CORP,55261F104,885561,5382040,0.0040066975423696275
MASTERCARD INC,57636Q104,1098526,4934756,0.004970252105082696
MONDELEZ INTL INC,609207105,24831,578000,0.00011234720891568194
MOODYS CORP,615369105,4124787,24669778,0.018662490710067616
ORACLE CORP,68389X105,2134832,41404791,0.009658991450359757
PNC FINL SVCS GROUP INC,693475105,829032,6087319,0.0037509335629570145
PHILLIPS 66,718546104,1739611,15433024,0.007870824390842832
PROCTER & GAMBLE CO,742718109,26251,315400,0.00011877196171098895
RESTAURANT BRANDS INTL INC,76131D103,500218,8438225,0.002263223235044283
SIRIUS XM HLDGS INC,82968B103,871627,137915729,0.003943653524447227
SOUTHWEST AIRLS CO,844741108,3500160,56047399,0.015836382214099845
STORE CAP CORP,862121100,517496,18621674,0.0023413970933522507
SYNCHRONY FINL,87165B103,646557,20803000,0.0029253302063910664
TEVA PHARMACEUTICAL INDS LTD,881624209,931589,43249295,0.004214950022413564
TORCHMARK CORP,891027104,550804,6353727,0.002492098266666396
TRAVELERS COMPANIES INC,89417E109,459652,3543688,0.00207968343089328
US BANCORP DEL,902973304,6597189,124923092,0.02984880878092863
U S G CORP,903293405,1689178,39002016,0.007642641603712045
UNITED CONTL HLDGS INC,910047109,2314183,25984542,0.010470460350776029
UNITED PARCEL SERVICE INC,911312106,6935,59400,3.137722579961557e-05
VERISIGN INC,92343E102,2073994,12952745,0.009383731513345046
VERIZON COMMUNICATIONS INC,92343V104,50,928,2.2622368997559893e-07
VISA INC,92826C839,1585320,10562460,0.00717273880384233
WELLS FARGO & CO NEW,949746101,23250531,442361700,0.10519641833424104
AXALTA COATING SYS LTD,G0750C108,707538,24264000,0.003201237143159106
LIBERTY GLOBAL PLC,G5480U104,572553,19791000,0.002590501047331982
LIBERTY GLOBAL PLC,G5480U120,206891,7346968,0.0009360729088548328
LIBERTY LATIN AMERICA LTD,G9001E102,56578,2714854,0.0002559856786287887
LIBERTY LATIN AMERICA LTD,G9001E128,26489,1284020,0.0001198487864752728
