Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,39031,204000,0.008793144271682499
Accenture,G1151C101,17790,148400,0.004007840859655956
Albemarle Corp,012653101,1585,15000,0.00035707857012673926
Alleghany Corporation,017175100,2660,4328,0.0005992611965533921
"Allergan, Inc.",G0177J108,6451,27000,0.0014533210447240346
Alphabet Inc,02079K107,61413,74031,0.013835499196967468
Alphabet Inc Class A,02079K305,10597,12500,0.002387357481156502
Amazon.com,023135106,52306,59000,0.011783818100346512
American Express,025816109,30536,386000,0.006879338307501646
American Tower,03027X100,3585,29500,0.0008076508983623724
Analog Devices Inc,032654105,41041,500811,0.00924596946155931
Anthem Inc,036752103,37045,224000,0.008345725949744514
Aon Corporation,G0408V102,4392,37000,0.0009894568328054504
Apollo Global Management - A,037612306,10214,420000,0.0023010728802993785
Apple Inc,037833100,12944,90100,0.0029161041083410177
Archer Daniels,039483102,67370,1463300,0.0151775288766173
Automatic Data Processing,053015103,54338,530700,0.012241599585833917
Baxter International Inc,071813109,1141,22000,0.0002570515132584287
Becton Dickinson,075887109,1651,9000,0.0003719474569585151
Berkshire Hathaway Class B,084670702,251954,1511607,0.05676175019414035
"Berkshire Hathaway, Inc.",084670108,271837,1088,0.0612411149952949
Blackrock Inc,09247X101,64621,168500,0.014558217211457423
Blackstone Group,09253U108,17671,595000,0.003981031806125936
Boeing Co,097023105,12274,69400,0.0027651623783820803
Bristol Myers Squibb,110122108,544,10000,0.0001225556732800922
Brookfield Asset Management,112585104,191591,5254821,0.04316280146949659
Brookfield Business Partners,G16234109,2503,101594,0.0005638912687868948
Brown Forman Class A,115637100,39680,843000,0.008939354992194962
Brown-Forman Class B,115637209,9732,210750,0.0021924849491945907
Bunge Limited,G16962105,5691,71800,0.001282103559994494
CDK Global Inc,12508E101,11500,176897,0.0025907908873548905
CME Group Inc,12572Q105,16038,135000,0.003613139500121542
CVS Corporation,126650100,20724,264000,0.0046688304651776305
Cable One,12685J105,3247,5200,0.0007315041748905504
Carmax,143130102,290952,4913070,0.06554746002240697
Caterpillar Inc,149123101,25787,278000,0.0058094543141061356
Charles Schwab,808513105,43136,1057000,0.009717943975386134
Cisco,17275R102,11560,342000,0.0026043080572019594
Colfax Corporation,194014106,44563,1135070,0.010039427331582258
Comcast Corp- Class A,20030N101,7856,209000,0.001769848105309567
Core Labs NV,N22717107,12707,110000,0.002862711287445095
Costco,22160K105,6539,39000,0.0014731462271664025
Diageo PLC,25243Q205,154276,1334800,0.03475624825544027
Discovery Communications,25470F302,26357,931000,0.005937867427653291
Disney,254687106,188590,1663200,0.042486717690979024
Dollar Tree Inc,256746108,3609,46000,0.0008130577663012
Ecolab,278865100,25795,205800,0.005811256603419078
Exxon Corporation,30231G102,77483,944800,0.01745584785434078
Facebook,30303M102,11151,78500,0.0025121660160777725
Factset Research,303075105,27045,164000,0.006092864308566349
Flowserve,34354P105,2130,44000,0.0004798595295709493
General Dynamics,369550108,72446,387000,0.01632108144567934
Gilead Sciences Inc,375558103,1834,27000,0.00041317482499207556
Goldman Sachs,38141G104,3928,17100,0.0008849240526547835
Graham Holdings Co,384637104,3118,5200,0.000702442259719352
"Hasbro, Inc",418056107,36334,364000,0.008185547487056747
Healthcare Services Group,421906108,2370,55000,0.0005339282089592253
Heico Corp,422806109,262,3000,5.902497499886794e-05
Heico Corp Class A,422806208,5287,70500,0.0011910879496908962
Hershey Foods,427866108,2633,24100,0.000593178470122211
Hexcel Corp,428291108,1800,33000,0.0004055150954120698
Home Depot,437076102,135084,920000,0.030432556193691132
IBM,459200101,1689,9700,0.00038050833119499216
Illinois Tool Works,452308109,30468,230000,0.006864018848341635
Investors Title Company,461804106,33733,213300,0.007599578174186306
JP Morgan,46625H100,16075,183000,0.0036214750881939013
John Deere,244199105,119245,1095400,0.026864248640229033
Johnson and Johnson,478160104,76075,610800,0.017138644935262893
KKR & Co LLC,48248M102,12159,667000,0.0027392544695085314
Liberty Braves Group A,531229706,1020,42600,0.00022979188740017287
Liberty Braves Group C,531229888,2360,99788,0.000531675347318047
Liberty Broadband A,530307107,13551,159250,0.0030528528099605322
Liberty Broadband Class C,530307305,14871,172113,0.00335023054659605
Liberty Global PLC,G5480U104,4233,118000,0.0009536363327107175
Liberty Global PLC Lilac,G5480U138,327,14720,7.366857566652602e-05
Liberty Media Group A,531229870,3973,121500,0.0008950619300400851
Liberty Media Group C,531229854,8316,243500,0.0018734797408037625
Liberty Sirius Group A,531229409,16580,426000,0.0037352446010733985
Liberty Sirius Group C,531229607,20243,522000,0.00456046782023696
Live Nation,538034109,9952,327700,0.0022420479053005104
Lowes,548661107,46284,563000,0.010427144820029021
MSCI,55354G100,13315,137000,0.0029996852752287276
Marriott International,571903202,142049,1508269,0.03200167432677172
Marsh & McLennan,571748102,45036,609500,0.010145987687209986
"Mastercard, Inc",57636Q104,17894,159100,0.004031270620724209
Maxim Integrated Products,57772K101,7823,174000,0.001762413661893679
McKesson Corp,58155Q103,1349,9100,0.0003039110353949345
Merck,58933Y105,356,5600,8.020187442594269e-05
Microsoft Corp,594918104,16004,243000,0.003605479770541536
Monsanto Co,61166W101,44906,396700,0.01011670048587467
Moody's Corp,615369105,32492,290000,0.007319998044516095
NXP Semiconductors NV,N6596X109,3622,35000,0.0008159864864347316
Nike,654106103,19394,348000,0.0043691998669009345
Norfolk Southern,655844108,25697,229500,0.005789178559335532
Novartis AG-Sponsored ADR,66987V109,275,3700,6.195369513239955e-05
Novo-Nordisk A/S,670100205,36851,1075000,0.008302020433905658
Oaktree Capital Group LLC,674001201,33092,730500,0.007455169742986785
Paccar,693718108,7950,118300,0.0017910250047366415
Parker-Hannifin Corp,701094104,15327,95600,0.0034529610374337744
Patterson Companies Inc.,703395103,7599,168000,0.001711949561131288
Paychex,704326107,8835,150000,0.001990403259980909
Penske Automotive Group,70959W103,2294,49000,0.0005168064604862712
Pepsico,713448108,16287,145600,0.003669235754986878
Philip Morris International,718172109,12927,114500,0.0029122742435510147
Praxair Inc.,74005P104,7282,61400,0.00164053384710594
Priceline Group Inc,741503403,356,200,8.020187442594269e-05
RLI Corporation,749607107,71860,1197272,0.0161890637535063
Ritchie Bros,767744105,3751,114000,0.0008450484016059299
Rockwell  Automation Inc,773903109,16318,104800,0.0036762196260745304
Rockwell Collins Inc,774341101,1457,15000,0.0003282419411196587
"Rollins, Inc.",775711104,13913,374700,0.0031344064013711817
S&P Global,78409V104,19219,147000,0.004329774788180316
SEI Investments Co,784117103,15344,304200,0.0034567909022237774
Schlumberger,806857108,51741,662500,0.011656531417619947
Sensata Technologies Holding,N7902X106,4542,104000,0.0010232497574231229
Starbucks Corp,855244109,1518,26000,0.00034198439713084555
Stericycle Inc,858912108,13262,160000,0.002987745108530483
Synalloy Corporation,871565107,5081,414804,0.001144678999882626
T.Rowe Price,74144T108,21399,314000,0.0048208986259571564
Texas Instruments Inc,882508104,38185,474000,0.008602552176838824
The Carlyle Group,14309L102,8406,527000,0.001893755495574366
The Travelers Companies Inc,89417E109,37970,315000,0.008554115651553494
Tyson Foods,902494103,4381,71000,0.0009869786850001544
Unilever PLC ADR,904767704,75372,1527600,0.01698026876188807
Union Pacific,907818108,8961,84600,0.002018789316659754
United Health Group Inc,91324P102,108739,663000,0.024497392200007254
United Technologies,913017109,15204,135500,0.0034252508392472827
VF Corp,918204108,1693,30800,0.0003814094758514634
Verisk Analytics Inc,92345Y106,5923,73000,0.0013343699500698275
Visa,92826C839,79210,891300,0.017844917059772248
W.P. Carey,92936U109,59122,950200,0.01331936859497355
Walgreens Boots Alliance Inc,931427108,177312,2135000,0.03994594033205829
Watsco Inc,942622200,28421,198500,0.006402858070392464
