Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,36054,208000,0.0055435991449197435
Accenture,G1151C101,29452,159400,0.004528487325017371
Activision Blizzard Inc,00507V109,12404,262800,0.001907217057568772
Albemarle Corp,012653101,5140,73000,0.0007903172908661309
Alleghany Corporation,017175100,2948,4328,0.000453279255539563
Alphabet Inc,02079K107,139462,129023,0.0214434299647417
Alphabet Inc Class A,02079K305,13535,12500,0.0020811176132048796
Amazon.com,023135106,179340,94707,0.0275750005727494
American Express,025816109,55671,451000,0.008559874299573613
American Tower,03027X100,7258,35500,0.001115977217335871
Analog Devices Inc,032654105,91742,812811,0.014106087334365872
Anheuser-Busch Inbev ADR,03524A108,266,3000,4.0899688593461245e-05
Anthem Inc,036752103,63215,224000,0.009719826370058846
Aon Corporation,G0408V102,7140,37000,0.001097833746456065
Apollo Global Management - A,037612306,34729,1012500,0.005339869493091412
Apple Inc,037833100,57493,290485,0.008840021790616043
Archer Daniels,039483102,59702,1463300,0.009179673715815125
Automatic Data Processing,053015103,87741,530700,0.013490900664958208
Autonation Inc,05329W102,1780,42460,0.00027368964547504145
Ball Corporation,058498106,210,3000,3.228922783694309e-05
Bank of New York Mellon Corp,064058100,3532,80000,0.0005430740605718238
Berkshire Hathaway Class B,084670702,324656,1522987,0.04991853120300284
"Berkshire Hathaway, Inc.",084670108,348912,1096,0.05364809077639756
Blackrock Inc,09247X101,99867,212800,0.015355372935199979
Blackstone Group,09253U108,53570,1206000,0.008236828262976387
Boeing Co,097023105,34363,94400,0.005283593981718454
Booking Holdings Inc,09857L108,375,200,5.765933542311266e-05
Brookfield Asset Management,112585104,275420,5764341,0.04234809109928984
Brown Forman Class A,115637100,46365,843000,0.007129000231713649
Brown-Forman Class B,115637209,26284,474187,0.004041381259362915
CDK Global Inc,12508E101,8746,176897,0.001344769460294782
CME Group Inc,12572Q105,26205,135000,0.004029234359367113
CVS Corporation,126650100,14985,275000,0.002304067043507582
Cable One,12685J105,6089,5200,0.0009362338490435546
Carmax,143130102,426602,4913070,0.06559356749378856
Caterpillar Inc,149123101,37889,278000,0.005825745492923508
Charles Schwab,808513105,42481,1057000,0.006531803274957997
Choice Hotels Intl Inc,169905106,14748,169500,0.0022676263435201746
Cisco,17275R102,18718,342000,0.002878046507866194
Citigroup Inc,172967424,1125,16070,0.00017297800626933798
Colfax Corporation,194014106,31816,1135070,0.004891971775524673
Comcast Corp- Class A,20030N101,21648,512000,0.0033285581153054476
Costco,22160K105,10345,39150,0.0015906288665389345
Crown Holdings Inc,228368106,4582,75000,0.0007045201997565393
DR Horton Inc,23331A109,512,11857,7.872421263102315e-05
Delta Air Lines,247361702,16968,299000,0.0026089696092250017
Diageo PLC,25243Q205,232598,1349800,0.035763856268653756
Discovery Communications,25470F302,33457,1176000,0.005144289027336214
Disney,254687106,254564,1823000,0.039141309500398
Dollar Tree Inc,256746108,13209,123000,0.0020309924309437205
Ecolab,278865100,56033,283800,0.00861553477803539
Electronic Arts Inc,285512109,12090,119400,0.0018589369740411523
Equifax Inc,294429105,7912,58500,0.0012165350983137796
Facebook,30303M102,27316,141530,0.004200059750447321
Factset Research,303075105,33304,116220,0.005120764018483584
General Dynamics,369550108,70364,387000,0.010819043940565064
Goldman Sachs,38141G104,60889,297600,0.009362184732207752
Goodyear Tire & Rubber Co.,382550101,306,20000,4.705001770525993e-05
Graham Holdings Co,384637104,3588,5200,0.0005516845213283419
"Hasbro, Inc",418056107,38468,364000,0.005914771506816794
Healthcare Services Group,421906108,6413,211500,0.000986051514849124
Heico Corp Class A,422806208,33713,326145,0.005183651133651726
Hexcel Corp,428291108,12860,159000,0.001977330809443277
Home Depot,437076102,191333,920000,0.02941902299869444
Illinois Tool Works,452308109,37853,251000,0.005820210196722889
Illumina Inc,452327109,368,1000,5.658302782854789e-05
Intl Flavors & Fragrances,459506101,9648,66500,0.0014834593817658426
Investors Title Company,461804106,35621,213300,0.005477021832284523
JP Morgan,46625H100,21080,188550,0.0032412234419179065
John Deere,244199105,166688,1005900,0.025629651474687473
Johnson and Johnson,478160104,85072,610800,0.013080519954973441
KKR & Co LLC,48251W104,33508,1326000,0.005152130696953757
Lennar Corporation,526057104,238,4900,3.6594458215202166e-05
Liberty Broadband A,530307107,21108,205250,0.0032455286722961655
Liberty Broadband Class C,530307305,17938,172113,0.0027581150901861196
Liberty Global PLC,G5480U104,4831,179000,0.000742805998477486
Liberty Latin America,G9001E102,340,19720,5.2277797450288815e-05
Liberty Media Group A,531229870,8230,229500,0.0012654302147525791
Liberty Media Group C,531229854,9708,259500,0.0014926848754335405
Liberty Sirius Group A,531229409,16107,426000,0.002476583775093535
Liberty Sirius Group C,531229607,19825,522000,0.0030482568660352228
Linde PLC,G5494J103,18956,94400,0.0029146409660813963
Live Nation,538034109,32377,488700,0.00497823014131765
Lowes,548661107,57518,570000,0.008843865746310917
MSCI,55354G100,32714,137000,0.005030046664084554
Marriott International,571903202,218750,1559269,0.03363461233014905
Marsh & McLennan,571748102,60798,609500,0.00934819273347841
