Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,28849,205700,0.009118571776710202
Accenture,G1151C101,9406,114400,0.0029730419124314937
Air Products & Chemicals,009158106,2794,25000,0.0008831255691402927
Alleghany Corporation,017175100,1731,4328,0.0005471332713607183
Alliance Holdings GP,01861G100,9762,166500,0.0030855661438609658
Amazon.com,023135106,6261,15700,0.0019789725083705703
American Express,025816109,31982,352500,0.010108848229149908
Anheuser-Busch Inbev ADR,03524A108,43819,411600,0.013850278924179846
Apollo Global Management - A,037612306,4909,155300,0.0015516332923799917
Apollo Group,037604105,2869,105000,0.0009068315167729062
Arch Coal Inc,039380100,1095,246000,0.00034610683543615623
Archer Daniels,039483102,60057,1383800,0.01898277462629154
Automatic Data Processing,053015103,42993,532100,0.01358919742091933
Bank of New York Mellon Corp,064058100,3899,111603,0.0012323931975941308
Berkshire Hathaway Class B,084670702,181071,1527257,0.05723279525046598
"Berkshire Hathaway, Inc.",084670108,194622,1094,0.06151598586872658
Blackrock Inc,09247X101,18798,59400,0.005941658714638233
Blackstone Group,09253U108,9274,294400,0.002931319444598094
Brookfield Asset Management,112585104,124938,3217573,0.039490315804312774
Brookfield Property Partners,G16249107,3442,172624,0.0010879449566860728
Brown & Brown,115236101,11477,365628,0.003627642146393393
Brown Forman Class A,115637100,31388,425490,0.00992109712389961
Brown-Forman Class B,115637209,8039,106372,0.002540961506914393
Calumet,131476103,1353,52000,0.0004276552952923465
Capital One,14040H105,14357,187400,0.004537950535485749
Carlyle Group,14309L102,6982,196000,0.0022068656849454273
Carmax,143130102,236336,5026288,0.0747009178626844
Caterpillar Inc,149123101,21976,242000,0.006946158735657506
Charles Schwab,808513105,25992,999700,0.008215533211558514
Chevron,166764100,11866,95000,0.0037505969947812146
Coca Cola Co,191216100,5449,131900,0.0017223161153348085
Colfax Corporation,194014106,69108,1085070,0.02184360838659533
Copart Inc,217204106,10262,280000,0.003243605794745055
Core Labs NV,N22717107,1909,10000,0.0006033953870754541
Costco,22160K105,4677,39300,0.0014783028943697741
Diageo PLC,25243Q205,160337,1210820,0.05067920700760455
Disney,254687106,115249,1508500,0.03642782344948089
ENI Spa ADR,26874R108,8098,167000,0.0025596101857187155
Ecolab,278865100,5881,56400,0.001858862373698662
Emerson Electric,291011104,11432,162900,0.0036134185778138248
Enterprise Products Lmtd Ptnsh,293792107,418,6300,0.0001321211481390989
Expeditors Int'l Wash Inc,302130109,6062,137000,0.0019160727273187024
Exxon Corporation,30231G102,88780,877266,0.028061520410978952
Factset Research,303075105,6080,56000,0.0019217621547505297
Fairfax Financial Holdings Ltd,303901102,111800,279459,0.035337665937682436
Federated Investors,314211103,62084,2155700,0.019623467370975638
Fidelity National Financial,31620R105,2586,79700,0.0008173810743725115
General Dynamics,369550108,38067,398400,0.012032190780409279
General Electric,369604103,72830,2598300,0.023020055547776492
Google,38259P508,14009,12500,0.0044279549384704225
Graham Holdings Co,384637104,3516,5300,0.0011113348250169181
"Hasbro, Inc",418056107,12036,218800,0.003804330476081805
Heritage Crystal Clean Inc,42726M106,5317,259500,0.001680593647501409
Home Depot,437076102,77062,935900,0.024357703152859428
Illinois Tool Works,452308109,20280,241200,0.006410088239858675
Intel,458140100,25921,998700,0.008193091581132973
International Business Machine,459200101,4539,24200,0.0014346839507257654
International Game Technology,459902102,18736,1031700,0.005922061797928606
Investors Title Company,461804106,17500,216100,0.005531387780943136
Johnson and Johnson,478160104,53177,580600,0.016808149030126465
KKR & Co LLC,48248M102,7059,290000,0.002231203791181577
Liberty Media,531229102,19603,134000,0.006196102552561617
Loews Corporation,540424108,11336,235000,0.0035830749648440795
Lowes,548661107,27768,560400,0.0087768900514988
MSCI,55354g100,219,5000,6.922136708723125e-05
Marriott International,571903202,66255,1342533,0.020941834138650715
"Mastercard, Inc",57636Q104,6684,8000,0.00211267405301851
Mattel,577081102,8826,185500,0.0027897159174059497
McDonalds,580135101,17921,184700,0.00566445716698754
McGraw Hill Financial,580645109,2346,30000,0.0007415220419481485
Microsoft Corp,594918104,30867,825100,0.009756419807678388
Monsanto Co,61166W101,4161,35700,0.0013152059746573937
Moody's Corp,615369105,13921,177400,0.004400139959914823
Mosaic Company,61945c103,7327,155000,0.002315913044055449
National Oilwell,637071101,19246,242000,0.006083262241830378
Nike,654106103,9468,120400,0.002992638829141121
Norfolk Southern,655844108,8763,94400,0.0027698029213945544
Northern Trust Corp,665859104,8665,140000,0.002738827149821273
Novo-Nordisk A/S,670100205,40869,221200,0.012917844983963717
"Oneok,Inc",682680103,622,10000,0.00019660132569980748
Oracle Corp,68389x105,24544,641500,0.007757850382598191
Patterson Companies Inc.,703395103,5974,145000,0.0018882577487631027
Paychex,704326107,6870,150900,0.002171464803147391
Peabody Energy,704549104,5078,260000,0.001605050694378814
Pepsico,713448108,10807,130300,0.003415869014208713
Philip Morris International,718172109,9976,114500,0.003153207114439356
Potash Corp,73755L107,2637,80000,0.0008335011187626886
Procter & Gamble,742718109,3411,41900,0.0010781464983312594
RLI Corporation,749607107,58551,601260,0.01850675919782866
"Rollins, Inc.",775711104,1424,47000,0.0004500969257178872
"Ross Stores, Inc",778296103,1723,23000,0.0005446046369465728
SEI Investments Co,784117103,6946,200000,0.002195486830081773
Schlumberger,806857108,15679,174000,0.004955807372423282
Starz Liberty Capital,85571Q102,351,12000,0.00011094383492063091
Synalloy Corporation,871565107,12063,785343,0.003812864617229546
Sysco Corp,871829107,372,10300,0.00011758150025776268
T.Rowe Price,74144T108,20984,250500,0.006632608068303473
Target,87612E106,1518,24000,0.00047980838008409606
Teva Pharmaceuticals,881624209,28052,699900,0.008866656573200963
Unilever PLC ADR,904767704,8940,217000,0.0028257489578075224
United Health Group Inc,91324P102,45700,606900,0.01444482409080579
United Parcel Service,911312106,77318,735800,0.02443861945411208
United Technologies,913017109,6100,53600,0.0019280837407858933
Universal Technical Institute,913915104,320,23000,0.00010114537656581735
Visa,92826C839,30418,136600,0.009614500201184475
W.P. Carey,92936U109,58479,953200,0.018484001488101354
Wal-Mart Stores,931142103,88920,1130000,0.028105771513226498
Walgreen,931422109,123350,2147450,0.03898838187310491
Wellpoint Inc,94973V107,9793,106000,0.003095364602215779
