Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,38870,204000,0.007426702156380324
Accenture,G1151C101,22477,159400,0.004294571246950362
Activision Blizzard Inc,00507V109,8280,177800,0.0015820193942585306
Albemarle Corp,012653101,5626,73000,0.0010749325014611708
Alleghany Corporation,017175100,2698,4328,0.0005154937591436614
Alphabet Inc,02079K107,119291,115189,0.022792352120832655
Alphabet Inc Class A,02079K305,13062,12500,0.0024956929139861024
Amazon.com,023135106,134794,89745,0.02575443505189425
American Express,025816109,36793,386000,0.007029859851806053
American Tower,03027X100,5616,35500,0.0010730218500188294
Analog Devices Inc,032654105,60065,699811,0.011476327888422542
Anthem Inc,036752103,58829,224000,0.011240171370149167
Aon Corporation,G0408V102,5378,37000,0.0010275483456911084
Apollo Global Management - A,037612306,23767,968500,0.004541045283012379
Apple Inc,037833100,24653,156285,0.004710329000803811
Archer Daniels,039483102,59951,1463300,0.011454546461979851
Automatic Data Processing,053015103,69585,530700,0.013295268061531383
Autonation Inc,05329W102,1070,29960,0.0002044397043305106
Berkshire Hathaway Class B,084670702,310098,1518747,0.05924891909671278
"Berkshire Hathaway, Inc.",084670108,335376,1096,0.06407866381266292
Blackrock Inc,09247X101,76875,195700,0.014688132962998134
Blackstone Group,09253U108,33268,1116000,0.006356355218380773
Boeing Co,097023105,30444,94400,0.005816787251063612
Booking Holdings Inc,09857L108,431,250,8.23490771649066e-05
Brookfield Asset Management,112585104,217603,5674141,0.04157634858077766
Brown Forman Class A,115637100,39975,843000,0.007637829140759029
Brown-Forman Class B,115637209,22562,474187,0.004310811784210262
CDK Global Inc,12508E101,8470,176897,0.001618321771663014
CME Group Inc,12572Q105,25397,135000,0.004852481468113998
CVS Corporation,126650100,18018,275000,0.003442611768810411
Cable One,12685J105,4265,5200,0.0008148928401585305
Carmax,143130102,308197,4913070,0.058885704257523715
Caterpillar Inc,149123101,35326,278000,0.006749567285214596
Charles Schwab,808513105,43902,1057100,0.008388141962166426
Chipotle Mexican Grill Inc,169656105,3541,8200,0.0006765616757330262
Choice Hotels Intl Inc,169905106,8411,117500,0.0016070489281532006
Cisco,17275R102,14819,342000,0.0028313943724054547
Citigroup Inc,172967424,707,13570,0.0001350830569735243
Colfax Corporation,194014106,23723,1135070,0.004532638416666078
Comcast Corp- Class A,20030N101,13586,399000,0.0025958110495647824
Costco,22160K105,7944,39000,0.0015178215057958656
Crown Holdings Inc,228368106,624,15000,0.00011922465000209216
DR Horton Inc,23331A109,313,9057,5.98033901452802e-05
Delta Air Lines,247361702,2694,54000,0.0005147294985667248
Diageo PLC,25243Q205,191402,1349800,0.03657025073669943
Discovery Communications,25470F302,27026,1171000,0.005163726588071383
Disney,254687106,197424,1800500,0.03772084503527731
Dollar Tree Inc,256746108,11109,123000,0.002122542687296862
Ecolab,278865100,39755,269800,0.007595794809027522
Electronic Arts Inc,285512109,8317,105400,0.0015890888045951932
Equifax Inc,294429105,233,2500,4.451817860655044e-05
Facebook,30303M102,18160,138530,0.0034697430192916563
Factset Research,303075105,23215,116000,0.004435577323395144
General Dynamics,369550108,60840,387000,0.011624403375203986
Goldman Sachs,38141G104,21035,125920,0.004019055308964757
Graham Holdings Co,384637104,3331,5200,0.0006364379954438606
"Hasbro, Inc",418056107,29574,364000,0.0056505605755799255
Healthcare Services Group,421906108,5866,146000,0.00112078813607736
Heico Corp Class A,422806208,18405,292145,0.0035165539796290163
Hexcel Corp,428291108,7683,134000,0.0014679535031507597
Home Depot,437076102,158074,920000,0.03020243160966461
Illinois Tool Works,452308109,29139,230000,0.005567447237838082
Illumina Inc,452327109,300,1000,5.7319543270236616e-05
Intl Flavors & Fragrances,459506101,8526,63500,0.0016290214197401246
Investors Title Company,461804106,37686,213300,0.007200481025607124
JP Morgan,46625H100,17864,183000,0.0034131877365983563
John Deere,244199105,163401,1095400,0.031220235632999777
Johnson and Johnson,478160104,78824,610800,0.015060518929110436
KKR & Co LLC,48251W104,24360,1241000,0.0046543469135432135
Liberty Broadband A,530307107,14739,205250,0.002816109160866725
Liberty Broadband Class C,530307305,12398,172113,0.0023688256582146453
Liberty Global PLC,G5480U104,3820,179000,0.0007298688509743463
Liberty Latin America,G9001E102,286,19720,5.464463125095891e-05
Liberty Media Group A,531229870,6821,229500,0.0013032553488209466
Liberty Media Group C,531229854,7966,259500,0.0015220249389690163
Liberty Sirius Group A,531229409,15677,426000,0.0029953282661583313
Liberty Sirius Group C,531229607,19303,522000,0.003688130479151258
Linde PLC,G5494J103,14731,94400,0.002814580639712852
Live Nation,538034109,24068,488700,0.00459855589142685
Lowes,548661107,52645,570000,0.010058624518205356
MSCI,55354G100,20197,137000,0.0038589427180965633
Marriott International,571903202,166343,1532269,0.031782349287336566
Marsh & McLennan,571748102,48608,609500,0.009287294530932204
"Mastercard, Inc",57636Q104,34353,182100,0.006563660899874795
Maxim Integrated Products,57772K101,12814,252000,0.00244830875821604
McKesson Corp,58155Q103,4099,37100,0.0007831760262156663
Microchip Technology,595017104,10860,151000,0.0020749674663825654
Microsoft Corp,594918104,39510,389000,0.007548983848690163
Mohawk Industries,608190104,4795,41000,0.0009161573666026153
Moody's Corp,615369105,28022,200100,0.0053540274717285685
NVR Inc,62944T105,1876,770,0.00035843821058321296
NXP Semiconductors NV,N6596X109,2125,29000,0.00040601343149750937
Nike,654106103,27135,366000,0.005184552688792902
Norfolk Southern,655844108,34319,229500,0.006557164684970835
Novo-Nordisk A/S,670100205,49525,1075000,0.009462501268194895
Oaktree Capital Group LLC,674001201,40564,1020500,0.0077503665107129275
Parker-Hannifin Corp,701094104,17688,118600,0.003379560271213151
Paychex,704326107,9772,150000,0.0018670885894558407
Penske Automotive Group,70959W103,2903,72000,0.0005546621137116563
Pepsico,713448108,16086,145600,0.0030734739101500874
Philip Morris International,718172109,7644,114500,0.001460501962525629
Progressive Corp,743315103,25881,429000,0.004944956997923313
RLI Corporation,749607107,82600,1197272,0.01578198091373848
Rockwell Automation Inc,773903109,19232,127800,0.0036745648539106353
"Rollins, Inc.",775711104,28358,785550,0.005418225360191233
S&P Global,78409V104,24981,147000,0.004772998368112603
SEI Investments Co,784117103,16780,363200,0.0032060731202485683
Scotts Miracle-Gro Co,810186106,10940,178000,0.0020902526779212954
Sensata Technologies Holding,N7902X106,3677,82000,0.0007025465353488668
Shake Shack Inc - Class A,819047101,1424,31350,0.0002720767653893898
Sherwin Williams,824348106,4328,11000,0.0008269299442452803
Southwest Airlines,844741108,4230,91000,0.0008082055601103362
Starbucks Corp,855244109,27380,425168,0.005231363649130262
Stericycle Inc,858912108,16565,451500,0.0031649941142382317
T.Rowe Price,74144T108,28988,314000,0.00553859640105873
Texas Instruments Inc,882508104,60101,636000,0.01148320623361497
The Carlyle Group,14309L102,17215,1093000,0.003289186457990411
The Travelers Companies Inc,89417E109,37721,315000,0.007207168305655318
TransUnion,89400J107,227,4000,4.3371787741145706e-05
Tyson Foods,902494103,12068,226000,0.002305774160617385
Unilever PLC ADR,904767704,79817,1527600,0.01525024661733492
Union Pacific,907818108,11800,85370,0.00225456870196264
United Health Group Inc,91324P102,149223,599000,0.028511314018048396
United Technologies,913017109,23852,224000,0.004557285820272279
Verisk Analytics Inc,92345Y106,8069,74000,0.0015417046488251309
Verizon,92343V104,5228,93000,0.00099888857405599
Visa,92826C839,122150,925800,0.023338607368198008
WR Berkley Corp,084423102,1330,18000,0.00025411664183138234
Walgreens Boots Alliance Inc,931427108,146772,2148000,0.028043013349530563
Watsco Inc,942622200,41046,295000,0.007842459910233773
Wells Fargo,949746101,2534,55000,0.0004841590754892653
Whirlpool Corp,963320106,8685,81259,0.00165940077767335
