Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,36428,204000,0.008779974485338229
Accenture,G1151C101,17382,148400,0.004189456366096109
Alleghany Corporation,017175100,2632,4328,0.0006343717153126776
"Allergan, Inc.",G0177J108,2940,14000,0.0007086067032747994
Alphabet Inc,02079K107,47105,61031,0.011353373727129057
Alphabet Inc Class A,02079K305,9906,12500,0.0023875707491973343
Amazon.com,023135106,34494,46000,0.008313836606381268
American Express,025816109,28595,386000,0.0068920437687560844
American Tower,03027X100,1480,14000,0.00035671357851928677
Analog Devices Inc,032654105,28467,392000,0.00686119286466793
Anthem Inc,036752103,32204,224000,0.007761894650429129
Aon Corporation,G0408V102,4127,37000,0.000994700634154795
Apollo Global Management - A,037612306,7492,387000,0.0018057419799097948
Apple Inc,037833100,8466,73100,0.0020404980782055956
Archer Daniels,039483102,66800,1463300,0.016100315571005646
Automatic Data Processing,053015103,54545,530700,0.013146582527253039
Baxter International Inc,071813109,975,22000,0.0002349971209839896
Becton Dickinson,075887109,1490,9000,0.00035912380540117385
Berkshire Hathaway Class B,084670702,246362,1511607,0.0593788315075463
"Berkshire Hathaway, Inc.",084670108,264627,1084,0.06378111090731303
Blackrock Inc,09247X101,61457,161500,0.014812531348013382
Blackstone Group,09253U108,15137,560000,0.003648360431112462
Boeing Co,097023105,8158,52400,0.001966263090243474
Bristol Myers Squibb,110122108,584,10000,0.00014075724990220506
Brookfield Asset Management,112585104,169962,5148821,0.04096469812992906
Brookfield Business Partners,G16234109,2444,101594,0.0005890594499332006
Brown Forman Class A,115637100,38989,843000,0.009397233589789507
Brown-Forman Class B,115637209,9467,210750,0.002281761789082492
Bunge Limited,G16962105,5187,71800,0.0012501846836348246
CDK Global Inc,12508E101,10559,176897,0.00254495856458456
CME Group Inc,12572Q105,15572,135000,0.0037532053004745497
CSX Corporation,126408103,5030,140000,0.0012123441215891977
CVS Corporation,126650100,19570,248000,0.004716814007853001
Cable One,12685J105,3233,5200,0.0007792263509140906
Carmax,143130102,316353,4913070,0.07624825047656211
Caterpillar Inc,149123101,25782,278000,0.0062140469468812505
Charles Schwab,808513105,41720,1057000,0.010055466551232867
Cisco,17275R102,9338,309000,0.0022506698623061486
Colfax Corporation,194014106,40783,1135070,0.009829628292400049
Comcast Corp- Class A,20030N101,6284,91000,0.0015145865725778365
Core Labs NV,N22717107,13204,110000,0.003182463574843691
Costco,22160K105,6245,39000,0.0015051866877384768
Diageo PLC,25243Q205,137492,1322800,0.03313869144444174
Discovery Communications,25470F302,23888,892000,0.005757549975451839
Disney,254687106,171567,1646200,0.04135153954447194
Dollar Tree Inc,256746108,1698,22000,0.0004092565245444249
Ecolab,278865100,22483,191800,0.0054189130985467055
Exxon Corporation,30231G102,85278,944800,0.02055393280335658
Facebook,30303M102,7306,63500,0.0017609117599066953
Factset Research,303075105,26803,164000,0.006460131111521921
Flowserve,34354P105,961,20000,0.0002316228033493477
General Dynamics,369550108,66819,387000,0.016104895002081232
Gilead Sciences Inc,375558103,1003,14000,0.00024174575625327338
Goldman Sachs,38141G104,4095,17100,0.0009869879081327562
Graham Holdings Co,384637104,2662,5200,0.0006416023959583387
"Hasbro, Inc",418056107,28316,364000,0.006824798438751435
Heico Corp,422806109,231,3000,5.567624097159138e-05
Heico Corp Class A,422806208,3361,49500,0.0008100772550022451
Hershey Foods,427866108,2493,24100,0.0006008695616544472
Hexcel Corp,428291108,617,12000,0.0001487109986124324
Home Depot,437076102,123354,920000,0.029731112678829795
Illinois Tool Works,452308109,28166,230000,0.006788645035523129
Investors Title Company,461804106,33740,213300,0.008132105499486984
JP Morgan,46625H100,15791,183000,0.0038059892691878765
John Deere,244199105,112870,1095400,0.02720423081585939
Johnson and Johnson,478160104,70371,610800,0.01696100759052752
KKR & Co LLC,48248M102,9573,622000,0.0023073101940304947
Liberty Braves Group A,531229706,873,42600,0.00021041280678874144
Liberty Braves Group C,531229888,2055,99788,0.0004953016242277934
Liberty Broadband A,530307107,10452,144250,0.0025191691369483684
Liberty Broadband Class C,530307305,12748,172113,0.0030725572290296404
Liberty Global PLC,G5480U104,3610,118000,0.0008700919043612333
