Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,36661,223000,0.005539155442351294
Accenture,G1151C101,30661,159400,0.004632608085375004
Activision Blizzard Inc,00507V109,14860,280800,0.0022452156207779447
Albemarle Corp,012653101,5075,73000,0.0007667879727757786
Alleghany Corporation,017175100,3453,4328,0.0005217180039398549
Alphabet Inc,02079K107,162417,133238,0.024539783679669677
Alphabet Inc Class A,02079K305,15264,12500,0.002306256476147681
Amazon.com,023135106,168830,97257,0.02550873171305117
American Express,025816109,55746,471300,0.00842273149366671
American Tower,03027X100,9973,45100,0.0015068327985207565
Analog Devices Inc,032654105,94279,843811,0.014244729711394606
Anheuser-Busch Inbev ADR,03524A108,1237,13000,0.00018689984676327842
Anthem Inc,036752103,53782,224000,0.008125988325483138
Aon Corporation,G0408V102,7162,37000,0.0010821153617773646
Apollo Global Management - A,03768E105,38293,1012500,0.005785736323448845
Apple Inc,037833100,66561,297185,0.010056783104616471
Archer Daniels,039483102,60098,1463300,0.009080280509926845
Automatic Data Processing,053015103,85665,530700,0.01294322988922898
Autonation Inc,05329W102,2191,43210,0.0003310408765225085
Ball Corporation,058498106,2257,31000,0.0003410128974492477
Bank of New York Mellon Corp,064058100,9313,206000,0.0014071125892533645
Berkshire Hathaway Class B,084670702,317263,1525157,0.047935655686061444
"Berkshire Hathaway, Inc.",084670108,341768,1096,0.051638146183178774
Blackrock Inc,09247X101,96793,217200,0.01462457305396767
Blackstone Group,09260D107,58901,1206000,0.008899424312210075
Boeing Co,097023105,35917,94400,0.005426743570086234
Booking Holdings Inc,09857L108,393,200,5.937885188194699e-05
Brookfield Asset Management,112585104,306974,5782141,0.046381078060073265
Brown Forman Class A,115637100,50369,843000,0.0076103139705897905
Brown-Forman Class B,115637209,29769,474187,0.004497834711637862
CDK Global Inc,12508E101,8507,176897,0.0012853330609662163
CVS Corporation,126650100,20371,323000,0.003077879368160667
Cable One,12685J105,6524,5200,0.0009857191594855525
