Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,33649,204000,0.008506039720467809
Aaron's Inc,002535300,8521,301000,0.002154000548548432
Accenture,G1151C101,12648,135000,0.003197253718817107
Alleghany Corporation,017175100,2108,4328,0.0005328756198028512
American Express,025816109,28201,361000,0.007128854532286626
Anheuser-Busch Inbev ADR,03524A108,51812,425000,0.013097415376292849
Anthem Inc,036752103,34588,224000,0.008743406991338243
Apollo Global Management - A,037612306,7258,336000,0.0018347301937993803
Archer Daniels,039483102,65222,1376000,0.016487293014602257
Automatic Data Processing,053015103,45449,530700,0.01148892981234335
Berkshire Hathaway Class B,084670702,218155,1511607,0.0551468125417889
"Berkshire Hathaway, Inc.",084670108,234464,1078,0.05926952055097519
Blackrock Inc,09247X101,47193,129000,0.011929790856430719
Blackstone Group,09253U108,17073,439000,0.004315837503270436
Brookfield Asset Management,112585104,177961,3319548,0.044986279969513855
Brown Forman Class A,115637100,38264,421500,0.009672653091146252
Brown-Forman Class B,115637209,9521,105375,0.002406787844470088
CDK Global Inc,12508e101,8272,176897,0.0020910565118639397
CME Group Inc,12572q105,9566,101000,0.002418163272786563
CVS Corporation,126650100,25286,245000,0.006391979564674998
Carbo Ceramics Inc,140781105,6102,200000,0.0015425080797139459
Carmax,143130102,339051,4913070,0.08570778546953345
Caterpillar Inc,149123101,19287,241000,0.004875508576440982
Charles Schwab,808513105,32175,1057000,0.008133431246279287
Chubb Corp,171232101,28106,278000,0.007104839739174068
Cisco,17275R102,633,23000,0.00016001435831840835
Coach Inc,189754104,746,18000,0.0001885793227575555
Colfax Corporation,194014106,51790,1085070,0.013091854055782573
Copart Inc,217204106,33475,891000,0.00846205473097744
Core Labs NV,N22717107,10658,102000,0.002694206999933011
Costco,22160K105,5908,39000,0.0014934673443051446
Culp Inc,230215105,809,30227,0.00020450492240061983
Diageo PLC,25243Q205,137991,1248000,0.034882371751525254
Discovery Communications,25470f302,2653,90000,0.0006706446960801538
Disney,254687106,161688,1541500,0.04087267230298074
Ecolab,278865100,14412,126000,0.0036431705088229085
