Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,27675,204000,0.008496584940827848
Accenture,G1151C101,8769,110000,0.00269219704954361
Air Products & Chemicals,009158106,2857,24000,0.0008771361581190664
Alleghany Corporation,017175100,1763,4328,0.0005412639295638481
American Express,025816109,31420,349000,0.009646348648267786
Anheuser-Busch Inbev ADR,03524A108,43173,410000,0.013254672507691443
Apollo Global Management - A,037612306,5788,182000,0.0017769912786815387
Archer Daniels,039483102,59705,1376000,0.018330211522750738
Automatic Data Processing,053015103,40770,527700,0.012516920254292732
Berkshire Hathaway Class B,084670702,188906,1511607,0.05799659890991962
"Berkshire Hathaway, Inc.",084670108,201963,1078,0.06200526772915681
Blackrock Inc,09247X101,23272,74000,0.007144806675445192
Blackstone Group,09253U108,10607,319000,0.0032564869545568557
Brookfield Asset Management,112585104,130660,3198548,0.04011431936291117
Brookfield Property Partners,G16249107,3150,168439,0.0009670909688747145
Brown & Brown,115236101,11247,365628,0.0034529752783917186
Brown Forman Class A,115637100,37484,421500,0.01150807551660311
Brown-Forman Class B,115637209,9451,105375,0.002901579919630135
CVS Corporation,126650100,7187,96000,0.0022065024740643086
Calumet,131476103,517,20000,0.00015872572409784995
Capital One,14040H105,13734,178000,0.004216516624293755
Carlyle Group,14309L102,7836,223000,0.002405753914953099
Carmax,143130102,232272,4963070,0.07131052492776752
Caterpillar Inc,149123101,23948,241000,0.007352347467495766
Charles Schwab,808513105,28888,1057000,0.008868991717096111
Chevron,166764100,11653,98000,0.0035776225588244593
Chubb Corp,171232101,3393,38000,0.0010416951293307638
Cisco,17275R102,516,23000,0.000158418711091858
Coca Cola Co,191216100,5026,130000,0.0015430473681156554
Colfax Corporation,194014106,77398,1085070,0.023762192637766712
Copart Inc,217204106,17831,490000,0.005474348909842867
Core Labs NV,N22717107,1984,10000,0.0006091138038880742
Costco,22160K105,4355,39000,0.0013370416410950416
Culp Inc,230215105,197,10000,6.048156218041865e-05
Diageo PLC,25243Q205,149757,1202000,0.04597734673833988
Disney,254687106,118864,1484500,0.03649279394422986
ENI Spa ADR,26874R108,8378,167000,0.0025721549642007484
Ecolab,278865100,7559,70000,0.0023207113122933228
Emerson Electric,291011104,10554,158000,0.0032402152652392813
Expeditors Int'l Wash Inc,302130109,5429,137000,0.0016667736095304206
Exxon Corporation,30231G102,84864,868800,0.026054351740502784
Factset Research,303075105,8840,82000,0.00271399497296904
Fairfax Financial Holdings Ltd,303901102,121034,279459,0.03715901216723244
Federated Investors,314211103,65172,2134000,0.020008651626508854
Fidelity National Financial,31620R105,2389,76000,0.0007334540713148231
