Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,29221,204000,0.008331534692013205
Aaron's Inc,002535300,4455,125000,0.001270216181955403
Accenture,G1151C101,9377,116000,0.002673584093871114
Alleghany Corporation,017175100,1896,4328,0.0005405903212093028
American Express,025816109,33110,349000,0.009440372117742625
Anheuser Busch,035229103,1149,10000,0.00032760457756829587
Anheuser-Busch Inbev ADR,03524A108,47700,415000,0.01360029447346189
Apollo Global Management - A,037612306,6126,221000,0.0017466541707427158
Archer Daniels,039483102,60695,1376000,0.017305448072678604
Automatic Data Processing,053015103,41836,527700,0.011928342129806115
Berkshire Hathaway Class B,084670702,191309,1511607,0.05454630472585997
"Berkshire Hathaway, Inc.",084670108,204713,1078,0.058368073009345996
Blackrock Inc,09247X101,28444,89000,0.008109995304049267
Blackstone Group,09253U108,11804,353000,0.0033655739195963138
Brookfield Asset Management,112585104,143706,3264548,0.0409736670357089
Brown & Brown,115236101,11228,365628,0.003201343948596019
Brown Forman Class A,115637100,38921,421500,0.011097213023094554
Brown-Forman Class B,115637209,9923,105375,0.002829260420548477
CME Group Inc,12572q105,1703,24000,0.00048556187606510693
CVS Corporation,126650100,14848,197000,0.004233483696896481
Carlyle Group,14309L102,8728,257000,0.002488540255018352
Carmax,143130102,258129,4963070,0.07359812184780387
Caterpillar Inc,149123101,26189,241000,0.0074670463724422105
Charles Schwab,808513105,28465,1057000,0.008115982855075319
Chubb Corp,171232101,15853,172000,0.004520030781714704
Cisco,17275R102,572,23000,0.00016308948509057028
Coca Cola Co,191216100,5507,130000,0.0015701639762128853
Colfax Corporation,194014106,80881,1085070,0.023060910216102123
Copart Inc,217204106,22655,630000,0.006459427071200821
Core Labs NV,N22717107,1671,10000,0.0004764379887873128
Costco,22160K105,4491,39000,0.0012804805551429215
Culp Inc,230215105,526,30227,0.0001499738971287412
Deere & Co,214199105,17204,190000,0.004905229897724074
Diageo PLC,25243Q205,154760,1216000,0.04412539984723191
Disney,254687106,128567,1499500,0.03665721298887998
Ecolab,278865100,9798,88000,0.0027936202358695935
Emerson Electric,291011104,10485,158000,0.0029894986908647362
Expeditors Int'l Wash Inc,302130109,6050,137000,0.0017249849384579547
Exxon Corporation,30231G102,87471,868800,0.024939860752372853
Factset Research,303075105,12389,103000,0.0035323699838934876
Fairfax Financial Holdings Ltd,303901102,132045,279459,0.037648865487385226
Federated Investors,314211103,65983,2134000,0.018813170445334086
General Dynamics,369550108,45105,387000,0.012860404239528273
General Electric,369604103,74004,2816000,0.021100129815808673
Google Class A,38259P508,7308,12500,0.002083667757066237
Google Class C,38259P706,7191,12500,0.002050308544206802
Graham Holdings Co,384637104,3734,5200,0.0010646435967276038
"Hasbro, Inc",418056107,12944,244000,0.00369061240386773
Heritage Crystal Clean Inc,42726M106,903,46003,0.0002574646941202534
Home Depot,437076102,74483,920000,0.021236703003498156
Illinois Tool Works,452308109,20139,230000,0.005742061433984256
Intel,458140100,30622,991000,0.00873098988189413
International Game Technology,459902102,14557,915000,0.004150513346964041
Investors Title Company,461804106,14372,213300,0.0040977658736392935
Johnson and Johnson,478160104,60073,574200,0.017128102513716482
KKR & Co LLC,48248M102,8710,358000,0.0024834080684245927
Laboratory Corp of America,50540R409,1536,15000,0.00043794658933411876
Liberty Media,531229102,33623,246000,0.009586639435664762
Lowes,548661107,25915,540000,0.007388923087626099
MSCI,55354g100,2659,58000,0.0007581380084892068
Marriott International,571903202,83706,1305869,0.023866378389844886
Marsh & McLennan,571748102,7307,141000,0.002083382635588806
"Mastercard, Inc",57636Q104,5878,80000,0.0016759440443398113
Mattel,577081102,9781,251000,0.0027887731707532653
McDonalds,580135101,18234,181000,0.005198905019478074
McGraw Hill Financial,580645109,6642,80000,0.0018937768530971463
Microsoft Corp,594918104,34111,818000,0.009725778716651123
Monsanto Co,61166W101,4116,33000,0.0011735600011062712
Moody's Corp,615369105,19899,227000,0.0056736322794008
National Oilwell,637071101,32364,393000,0.009227671495579048
Nike,654106103,10159,131000,0.0028965490892222086
Norfolk Southern,655844108,9479,92000,0.002702666484569083
Northern Trust Corp,665859104,8989,140000,0.00256295696062786
Novo-Nordisk A/S,670100205,49654,1075000,0.014157421840362195
Now Inc,67011P100,3386,93500,0.0009654213225815925
