Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,33522,204000,0.008845702108143868
Aaron's Inc,002535300,8193,268000,0.002161948492692044
Accenture,G1151C101,12057,135000,0.003181571216451602
Alleghany Corporation,017175100,2006,4328,0.0005293382981008471
American Express,025816109,32471,349000,0.0085683668383014
Anheuser-Busch Inbev ADR,03524A108,47736,425000,0.012596457127687956
Anthem Inc,036752103,27270,217000,0.00719593987498011
Apollo Global Management - A,037612306,7192,305000,0.0018978070986746223
Archer Daniels,039483102,71552,1376000,0.018880964060673886
Automatic Data Processing,053015103,44244,530700,0.01167499684006674
Berkshire Hathaway Class B,084670702,226968,1511607,0.05989175216518099
"Berkshire Hathaway, Inc.",084670108,62150,275,0.016399987650532227
Blackrock Inc,09247X101,41477,116000,0.010944847751908692
Blackstone Group,09253U108,14073,416000,0.0037135482897174585
Brookfield Asset Management,112585104,166108,3313548,0.04383216651093495
Brown & Brown,115236101,5451,165628,0.0014383963424465193
Brown Forman Class A,115637100,36991,421500,0.009761093212885562
Brown-Forman Class B,115637209,9256,105375,0.0024424502927325228
CDK Global Inc,12508e101,7210,176897,0.001902556893971639
CME Group Inc,12572q105,4964,56000,0.0013098879919105709
CVS Corporation,126650100,22344,232000,0.005896079228696574
Carbo Ceramics Inc,140781105,2443,61000,0.0006446527728117495
Carmax,143130102,330441,4963070,0.08719595043008077
Caterpillar Inc,149123101,22059,241000,0.005820874136493812
Charles Schwab,808513105,31911,1057000,0.008420595429060884
Chubb Corp,171232101,27420,265000,0.007235521502455248
Cisco,17275R102,640,23000,0.00016888161056058932
Colfax Corporation,194014106,55957,1085070,0.014765794190842025
Copart Inc,217204106,30798,844000,0.008126899753195358
Core Labs NV,N22717107,3008,25000,0.0007937435696347698
Costco,22160K105,5528,39000,0.0014587149112170901
Culp Inc,230215105,655,30227,0.00017283977330810312
Diageo PLC,25243Q205,141814,1243000,0.03742152612506158
Disney,254687106,143969,1528500,0.03799018217312106
Ecolab,278865100,11811,113000,0.0031166573473923754
Emerson Electric,291011104,9753,158000,0.0025735974184334805
Expeditors Int'l Wash Inc,302130109,6112,137000,0.0016128193808536279
Exxon Corporation,30231G102,80321,868800,0.02119490600287046
Factset Research,303075105,18016,128000,0.004754017337280589
