Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,48015,204000,0.009065463350624707
Accenture,G1151C101,24403,159400,0.004607403980949594
Albemarle Corp,012653101,9336,73000,0.0017626817836391185
Alleghany Corporation,017175100,2580,4328,0.0004871164312113245
"Allergan, Inc.",G0177J108,5398,33000,0.0010191684091778023
Alphabet Inc,02079K107,101533,97031,0.019169919616348608
Alphabet Inc Class A,02079K305,13167,12500,0.002485993042542446
Amazon.com,023135106,93558,80000,0.01766420119041438
American Express,025816109,38334,386000,0.007237643904672447
American Tower,03027X100,5065,35500,0.0009562964046842475
Analog Devices Inc,032654105,47881,537811,0.009040163504972647
Anthem Inc,036752103,50402,224000,0.009516140451904333
Aon Corporation,G0408V102,4958,37000,0.0009360942891262585
Apollo Global Management - A,037612306,22927,685000,0.004328728069140324
Apple Inc,037833100,19140,113100,0.0036137242222421518
Archer Daniels,039483102,58649,1463300,0.01107321378841588
Automatic Data Processing,053015103,62193,530700,0.011742338064467405
Baxter International Inc,071813109,1422,22000,0.00026848045162112535
Becton Dickinson,075887109,1927,9000,0.0003638268848621017
Berkshire Hathaway Class B,084670702,299631,1511607,0.05657177651173658
"Berkshire Hathaway, Inc.",084670108,323789,1088,0.06113292331220293
Blackrock Inc,09247X101,92468,180000,0.01745840393846851
Blackstone Group,09253U108,27217,850000,0.005138700739642876
Boeing Co,097023105,27840,94400,0.005256326141443129
Bristol Myers Squibb,110122108,613,10000,0.00011573735361726432
Brookfield Asset Management,112585104,236675,5435821,0.044685380370907066
Brookfield Business Partners,G16234109,3507,101594,0.0006621384977744632
Brown Forman Class A,115637100,56683,843000,0.010702023515640119
Brown-Forman Class B,115637209,14472,210750,0.002732383330422592
Bunge Limited,G16962105,4816,71800,0.0009092840049278058
CDK Global Inc,12508E101,12609,176897,0.002380639953931624
CME Group Inc,12572Q105,19717,135000,0.0037226646024006533
CVS Corporation,126650100,19357,267000,0.0036546948678130267
Cable One,12685J105,3657,5200,0.0006904592205193076
Carmax,143130102,315075,4913070,0.05948767812554576
Caterpillar Inc,149123101,43807,278000,0.008270972675222671
Charles Schwab,808513105,54298,1057000,0.010251724023997093
Choice Hotels Intl Inc,169905106,3492,45000,0.0006593064254999788
Cisco,17275R102,13099,342000,0.0024731543148981162
Colfax Corporation,194014106,44971,1135070,0.008490741483722664
Comcast Corp- Class A,20030n101,8451,211000,0.0015955895194445361
Costco,22160K105,7259,39000,0.0013705341760321724
Diageo PLC,25243Q205,197111,1349800,0.03721550653972689
Discovery Communications,25470F302,21763,1028000,0.004108959260640332
Disney,254687106,182681,1699200,0.03449105301167286
Dollar Tree Inc,256746108,9443,88000,0.0017828838991971075
Ecolab,278865100,30700,228800,0.005796307921778164
Facebook,30303M102,19146,108500,0.0036148570511519455
Factset Research,303075105,31613,164000,0.005968686720885117
Flowserve,34354P105,2823,67000,0.0005329960020579725
General Dynamics,369550108,78735,387000,0.01486554736876885
General Electric,369604103,1658,95000,0.00031303838873968066
Gilead Sciences Inc,375558103,2364,33000,0.0004463345904587485
Goldman Sachs,38141G104,9961,39100,0.0018806847950759704
Goodyear Tire & Rubber Co.,382550101,646,20000,0.0001219679126211301
Graham Holdings Co,384637104,2903,5200,0.0005481003875218895
"Hasbro, Inc",418056107,33084,364000,0.006246418608602891
Healthcare Services Group,421906108,2900,55000,0.0005475339730669927
Heico Corp,422806109,354,3750,6.68369056778329e-05
Heico Corp Class A,422806208,10939,138375,0.0020653359073723562
Hershey Foods,427866108,2736,24100,0.0005165699828659627
Hexcel Corp,428291108,5319,86000,0.0010042528285321842
Home Depot,437076102,174368,920000,0.03292151855715358
