Name of Issuer,CUSIP,Value,Shares,Ratio
AGILENT TECHNOLOGIES INC,00846U101,1236365,12248514,0.14013509523482984
CHIPOTLE MEXICAN GRILL INC,169656105,1444236,1161232,0.16369611676290555
HILTON WORLDWIDE HLDGS INC,43300A203,1140132,13363011,0.1292276199991726
HOWARD HUGHES CORP,44267D107,628877,10918008,0.07127970970222716
LOWES COS INC,548661107,2058004,12408077,0.23326330536181528
RESTAURANT BRANDS INTL INC,76131D103,1444595,25119016,0.16373680741589985
STARBUCKS CORP,855244109,870456,10131008,0.09866134552314976
