Name of Issuer,CUSIP,Value,Shares,Ratio
AGILENT TECHNOLOGIES INC,00846U101,277097,3248114,0.04228644086083368
BERKSHIRE HATHAWAY INC DEL,084670702,909532,4015594,0.13879930540220853
CHIPOTLE MEXICAN GRILL INC,169656105,1443437,1724310,0.22027598038534948
HILTON WORLDWIDE HLDGS INC,43300A203,1170855,10556805,0.17867855196595928
HOWARD HUGHES CORP,44267D107,278629,2197389,0.04252023201482956
LOWES COS INC,548661107,1031518,8613212,0.15741500234172667
RESTAURANT BRANDS INTL INC,76131D103,961926,15084304,0.14679490182679097
STARBUCKS CORP,855244109,479863,5457954,0.07322958520230184
