Name of Issuer,CUSIP,Value,Shares,Ratio
AIR PRODS & CHEMS INC,009158106,2673640,20549076,0.21458465176062966
CANADIAN PAC RY LTD,13645T100,1778858,13940890,0.14277001558235594
HOWARD HUGHES CORP,44267D107,403757,3568017,0.0324052809057751
MONDELEZ INTL INC,609207105,1944547,43366342,0.15606810970331725
PLATFORM SPECIALTY PRODS COR,72766Q105,548321,42737394,0.04400789591644358
RESTAURANT BRANDS INTL INC,76131D103,1419829,38003984,0.11395457560653006
VALEANT PHARMACEUTICALS INTL,91911K102,1686488,16591122,0.13535645792944478
ZOETIS INC,98978V103,2004165,41823145,0.16085301259550364
