Name of Issuer,CUSIP,Value,Shares,Ratio
AIR PRODS & CHEMS INC,009158106,2446162,20549076,0.29194532510243665
ALLERGAN INC,018490102,74141,597431,0.008848603791743865
APARTMENT INVT & MGMT CO,03748R101,113307,3749393,0.013523000092136903
BEAM INC,073730103,971990,11668545,0.11600537353875884
BURGER KING WORLDWIDE INC,121220107,1019198,38387865,0.12163956902844261
CANADIAN PAC RY LTD,13645T100,2581362,17159888,0.30808121796392723
HOME PROPERTIES INC,437306103,28484,473778,0.003399517546351307
HOWARD HUGHES CORP,44267D107,509192,3568017,0.06077120974798886
PLATFORM SPECIALTY PRODS COR,72766Q105,635000,33333330,0.07578618318821373
