Name of Issuer,CUSIP,Value,Shares,Ratio
BERKSHIRE HATHAWAY INC DEL,084670702,835324,4015594,0.1333087778587073
CHIPOTLE MEXICAN GRILL INC,169656105,1449231,1724310,0.2312817702411905
HILTON WORLDWIDE HLDGS INC,43300A203,982944,10556805,0.15686735128351295
HOWARD HUGHES CORP,44267D107,154845,1194793,0.024711606164232718
LOWES COS INC,548661107,947109,8613212,0.15114846848526128
RESTAURANT BRANDS INTL INC,76131D103,1073097,15084304,0.1712548060319651
STARBUCKS CORP,855244109,823534,9313890,0.13142721993513015
