Name of Issuer,CUSIP,Value,Shares,Ratio
AUTOMATIC DATA PROCESSING IN,053015103,901253,7941957,0.18651589265329538
CHIPOTLE MEXICAN GRILL INC,169656105,931353,2882463,0.192745140565773
HOWARD HUGHES CORP,44267D107,306717,2204534,0.06347562232463115
MONDELEZ INTL INC,609207105,674215,16156591,0.1395299794455514
PLATFORM SPECIALTY PRODS COR,72766Q105,389548,40451506,0.08061764338238642
RESTAURANT BRANDS INTL INC,76131D103,1384311,24320295,0.28648559491594033
UNITED TECHNOLOGIES CORP,913017109,244647,1944420,0.05063012671242232
