Name of Issuer,CUSIP,Value,Shares,Ratio
AIR PRODS & CHEMS INC,009158106,1094944,7601140,0.12368086761313538
CANADIAN PAC RY LTD,13645T100,1849817,13940890,0.20894855945649024
HOWARD HUGHES CORP,44267D107,377817,3568017,0.042676825809349124
MONDELEZ INTL INC,609207105,920442,22942225,0.10396976023209366
NOMAD HLDGS LTD,G6564A105,300333,33333334,0.03392451669935247
PLATFORM SPECIALTY PRODS COR,72766Q105,367542,42737394,0.04151619940770213
RESTAURANT BRANDS INTL INC,76131D103,1520216,39150551,0.17171803657481133
VALEANT PHARMACEUTICALS INTL,91911K102,567847,21591122,0.06414191925022292
ZOETIS INC,98978V103,1854020,41823145,0.20942331495684277
