Name of Issuer,CUSIP,Value,Shares
AIR PRODS & CHEMS INC,009158106,2296976,20549076
BEAM INC,073730103,1416910,20818545
BURGER KING WORLDWIDE INC,121220107,877547,38387865
CANADIAN PAC RY LTD,13645T100,2596634,17159888
GENERAL GROWTH PPTYS INC NEW,370023103,554419,27624282
HOWARD HUGHES CORP,44267D107,428519,3568017
PROCTER & GAMBLE CO,742718109,60211,739605
