Name of Issuer,CUSIP,Value,Shares
AIR PRODS & CHEMS INC,009158106,102657,963279
AUTONATION INC,05329W102,99056,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,9879888,87039804
BP PLC,055622104,303720,7226278
CANADIAN NATL RY CO,136375102,868076,8563437
CATERPILLAR INC DEL,149123101,897133,10760857
COCA COLA CO,191216100,1287996,34002000
COCA COLA FEMSA SAB DE CV,191241108,782930,6214719
CROWN CASTLE INTL CORP,228227104,389462,5332900
DIAMOND FOODS INC,252603105,10403,441163
ECOLAB INC,278865100,431228,4366425
EXXON MOBIL CORP,30231G102,657678,7643858
FEDEX CORP,31428X106,345183,3024999
GRUPO TELEVISA SA,40049J206,471771,16879103
LIBERTY GLOBAL PLC,G5480U104,168184,2119515
LIBERTY GLOBAL PLC,G5480U120,53292,706507
MCDONALDS CORP,580135101,949833,9872500
PROCTER & GAMBLE CO,742718109,113385,1500000
REPUBLIC SVCS INC,760759100,45036,1350000
TOYOTA MOTOR CORP,892331307,19627,153300
WAL-MART STORES INC,931142103,821178,11103000
WASTE MGMT INC DEL,94106L109,768453,18633672
