Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,34278,3060500
AUTONATION INC,05329W102,113315,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,9117358,72039804
BP PLC,055622104,385880,7315267
CANADIAN NATL RY CO,136375102,1113589,17126874
CATERPILLAR INC DEL,149123101,1223717,11260857
COCA COLA CO,191216100,1440325,34002000
COCA COLA FEMSA SAB DE CV,191241108,706116,6214719
CROWN CASTLE INTL CORP,228227104,396021,5332900
ECOLAB INC,278865100,486158,4366425
EXXON MOBIL CORP,30231G102,819924,8143858
FEDEX CORP,31428X106,457924,3024999
GRUPO TELEVISA SA,40049J206,579122,16879103
LIBERTY GLOBAL PLC,G5480U104,93725,2119515
LIBERTY GLOBAL PLC,G5480U120,149461,3532529
MCDONALDS CORP,580135101,1095296,10872500
REPUBLIC SVCS INC,760759100,51260,1350000
THAI FD INC,882904105,1072,95586
WAL-MART STORES INC,931142103,871037,11603000
WASTE MGMT INC DEL,94106L109,833484,18633672
