Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,16098,3060500
AUTONATION INC,05329W102,119581,1898716
BERKSHIRE HATHAWAY INC,084670702,9340591,68625314
BP PLC,055622104,300091,7509796
CANADIAN NATL RY CO,136375102,989077,17126874
CATERPILLAR INC,149123101,955146,11260857
COCA COLA FEMSA SAB DE CV,191241108,493759,6214719
CROWN CASTLE INTL CORP NEW,22822V101,428232,5332900
ECOLAB INC,278865100,493712,4366425
FEDEX CORP,31428X106,515460,3024999
GRUPO TELEVISA SA,40049J206,655247,16879103
LIBERTY GLOBAL PLC,G5480U104,114602,2119515
LIBERTY GLOBAL PLC,G5480U120,184260,3639349
UNITED PARCEL SERVICE INC,911312106,438550,4525329
WAL-MART STORES INC,931142103,823001,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,293463,3475398
WASTE MGMT INC DEL,94106L109,863671,18633672
