Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,16129,3060500
AUTONATION INC,05329W102,92487,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,10741340,74349971
CANADIAN NATL RY CO,136375102,1120098,17126874
CATERPILLAR INC DEL,149123101,999626,11260857
COCA COLA FEMSA S A B DE C V,191241108,466104,6214719
CROWN CASTLE INTL CORP NEW,22822V101,502413,5332900
ECOLAB INC,278865100,531481,4366426
FEDEX CORP,31428X106,528407,3024999
GRUPO TELEVISA SA,40049J206,433624,16879104
LIBERTY GLOBAL PLC,G5480U104,72445,2119515
LIBERTY GLOBAL PLC,G5480U120,120244,3639349
LIBERTY GLOBAL PLC,G5480U138,10220,370424
LIBERTY GLOBAL PLC,G5480U153,17841,636044
UNITED PARCEL SERVICE INC,911312106,494890,4525329
WAL-MART STORES INC,931142103,836808,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,280187,3475398
WASTE MGMT INC DEL,94106L109,1188083,18633672
