Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,28004,3060500
AUTONATION INC,05329W102,88822,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,11683538,58569972
CANADIAN NATL RY CO,136375102,1252488,17126874
CATERPILLAR INC DEL,149123101,1659625,11260857
COCA COLA FEMSA S A B DE C V,191241108,412844,6214719
CROWN CASTLE INTL CORP NEW,22822V101,584539,5332900
ECOLAB INC,278865100,598506,4366426
FEDEX CORP,31428X106,726333,3024999
GRUPO TELEVISA SA,40049J206,269390,16879104
LIBERTY GLOBAL PLC,G5480U104,66362,2119515
LIBERTY GLOBAL PLC,G5480U120,110745,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,7205,370424
LIBERTY LATIN AMERICA LTD,G9001E128,12142,636044
MICROSOFT CORP,594918104,3650800,40000000
UNITED PARCEL SERVICE INC,911312106,473621,4525329
WALMART INC,931142103,1032319,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,227534,3475398
WASTE MGMT INC DEL,94106L109,1567464,18633672
