Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,19128,3060500
AUTONATION INC,05329W102,78892,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,13291729,62078974
CANADIAN NATL RY CO,136375102,1537993,17126874
CATERPILLAR INC DEL,149123101,1717168,11260857
COCA COLA FEMSA S A B DE C V,191241108,380589,6214719
CROWN CASTLE INTL CORP NEW,22822V101,593712,5332900
ECOLAB INC,278865100,684568,4366426
FEDEX CORP,31428X106,728390,3024999
GRUPO TELEVISA SA,40049J206,299435,16879104
LIBERTY GLOBAL PLC,G5480U104,61318,2119515
LIBERTY GLOBAL PLC,G5480U120,102484,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,7720,370424
LIBERTY LATIN AMERICA LTD,G9001E128,13122,636044
MICROSOFT CORP,594918104,2744880,24000000
UNITED PARCEL SERVICE INC,911312106,528332,4525329
WALMART INC,931142103,1089638,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,253357,3475398
WASTE MGMT INC DEL,94106L109,1683739,18633672
