Name of Issuer,CUSIP,Value,Shares
ALIBABA GROUP HLDG LTD,01609W102,162390,552383
ALPHABET INC,02079K305,63178,43107
ALPHABET INC,02079K107,63165,42981
AMAZON COM INC,023135106,190372,60460
APPLE INC,037833100,232104,2004176
BERKSHIRE HATHAWAY INC DEL,084670702,10030411,47104399
BOSTON PROPERTIES INC,101121101,88275,1099310
CANADIAN NATL RY CO,136375102,1823327,17126874
CATERPILLAR INC DEL,149123101,1679557,11260857
COCA-COLA FEMSA SAB DE CV,191241108,253063,6214719
CROWN CASTLE INTL CORP NEW,22822V101,887928,5332900
ECOLAB INC,278865100,872587,4366426
FEDEX CORP,31428X106,760848,3024999
GRUPO TELEVISA SA,40049J206,104313,16879104
LIBERTY GLOBAL PLC,G5480U104,44531,2119515
LIBERTY GLOBAL PLC,G5480U120,74734,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,3056,370424
LIBERTY LATIN AMERICA LTD,G9001E128,7613,935282
SCHRODINGER INC,80810D103,236679,4981664
TWITTER INC,90184L102,12123,272420
UBER TECHNOLOGIES INC,90353T100,976,26767
UNITED PARCEL SERVICE INC,911312106,754056,4525329
WALMART INC,931142103,1623376,11603000
WASTE MGMT INC DEL,94106L109,2108773,18633672
