Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,18302,3060500
AUTONATION INC,05329W102,95524,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,11552001,83625314
BP PLC,055622104,325477,7405614
CANADIAN NATL RY CO,136375102,1215323,17126874
CATERPILLAR INC DEL,149123101,1115163,11260857
COCA COLA CO,191216100,914191,21429710
COCA COLA FEMSA SAB DE CV,191241108,625946,6214719
CROWN CASTLE INTL CORP,228227104,429458,5332900
ECOLAB INC,278865100,501397,4366425
EXXON MOBIL CORP,30231G102,765930,8143858
FEDEX CORP,31428X106,488386,3024999
GRUPO TELEVISA SA,40049J206,571864,16879103
LIBERTY GLOBAL PLC,G5480U104,90164,2119515
LIBERTY GLOBAL PLC,G5480U120,144887,3532529
MCDONALDS CORP,580135101,1030822,10872500
REPUBLIC SVCS INC,760759100,52677,1350000
WAL-MART STORES INC,931142103,887281,11603000
WASTE MGMT INC DEL,94106L109,885658,18633672
