Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,14599,3060500
AUTONATION INC,05329W102,89202,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,9321804,64381548
CANADIAN NATL RY CO,136375102,1011513,17126874
CATERPILLAR INC DEL,149123101,853686,11260857
COCA COLA FEMSA SAB DE CV,191241108,515573,6214719
CROWN CASTLE INTL CORP NEW,22822V101,540916,5332900
ECOLAB INC,278865100,517858,4366426
FEDEX CORP,31428X106,459134,3024999
GRUPO TELEVISA SA,40049J206,439532,16879104
LIBERTY GLOBAL PLC,G5480U104,61593,2119515
LIBERTY GLOBAL PLC,G5480U120,104267,3639349
LIBERTY GLOBAL PLC,G5480U138,11950,370424
LIBERTY GLOBAL PLC,G5480U153,20665,636044
UNITED PARCEL SERVICE INC,911312106,487468,4525329
WALGREENS BOOTS ALLIANCE INC,931427108,289396,3475398
WAL-MART STORES INC,931142103,847251,11603000
WASTE MGMT INC DEL,94106L109,1234853,18633672
