Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,15088,3060500
AUTONATION INC,05329W102,122144,1898716
BERKSHIRE HATHAWAY INC,084670702,10625605,73625314
BP PLC,055622104,289634,7405614
CANADIAN NATL RY CO,136375102,1145274,17126874
CATERPILLAR INC,149123101,901206,11260857
COCA COLA FEMSA SAB DE CV,191241108,496307,6214719
CROWN CASTLE INTL CORP NEW,22822V101,440178,5332900
ECOLAB INC,278865100,499432,4366425
FEDEX CORP,31428X106,500486,3024999
GRUPO TELEVISA SA,40049J206,557179,16879103
LIBERTY GLOBAL PLC,G5480U104,109091,2119515
LIBERTY GLOBAL PLC,G5480U120,181276,3639349
REPUBLIC SVCS INC,760759100,54756,1350000
UNITED PARCEL SERVICE INC,911312106,438685,4525329
WAL-MART STORES INC,931142103,954347,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,294297,3475398
WASTE MGNT INC DEL,94106L109,1010504,18633672
