Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,21270,3060500
AUTONATION INC,05329W102,92240,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,9998835,53569972
CANADIAN NATL RY CO,136375102,1400122,17126874
CATERPILLAR INC DEL,149123101,1527760,11260857
COCA COLA FEMSA S A B DE C V,191241108,350697,6214719
CROWN CASTLE INTL CORP NEW,22822V101,574993,5332900
ECOLAB INC,278865100,612741,4366426
FEDEX CORP,31428X106,686856,3024999
GRUPO TELEVISA SA,40049J206,319859,16879104
LIBERTY GLOBAL PLC,G5480U104,58371,2119515
LIBERTY GLOBAL PLC,G5480U120,96843,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,7083,370424
LIBERTY LATIN AMERICA LTD,G9001E128,12327,636044
MICROSOFT CORP,594918104,3155520,32000000
UNITED PARCEL SERVICE INC,911312106,480726,4525329
WALMART INC,931142103,993797,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,208576,3475398
WASTE MGMT INC DEL,94106L109,1515663,18633672
