Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,8325,3060500
AUTONATION INC,05329W102,110467,1898716
BERKSHIRE HATHAWAY INC,084670702,10351354,79381548
BP PLC,055622104,187484,6134939
CANADIAN NATL RY CO,136375102,972121,17126874
CATERPILLAR INC,149123101,736010,11260857
COCA COLA FEMSA SAB DE CV,191241108,431177,6214719
CROWN CASTLE INTL CORP NEW,22822V101,420606,5332900
ECOLAB INC,278865100,479084,4366425
FEDEX CORP,31428X106,435539,3024999
GRUPO TELEVISA SA,40049J206,439194,16879103
LIBERTY GLOBAL PLC,G5480U104,91012,2119515
LIBERTY GLOBAL PLC,G5480U120,149286,3639349
LIBERTY GLOBAL PLC,G5480U138,3570,105975
LIBERTY GLOBAL PLC,G5480U153,6231,181967
UNITED PARCEL SERVICE INC,911312106,446605,4525329
WALGREENS BOOTS ALLIANCE INC,931427108,288806,3475398
WAL-MART STORES INC,931142103,752339,11603000
WASTE MGMT INC DEL,94106L109,928143,18633672
