Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,24790,3060500
BERKSHIRE HATHAWAY INC DEL,084670702,11305187,49912525
CANADIAN NATL RY CO,136375102,1549126,17126874
CATERPILLAR INC DEL,149123101,1663003,11260857
COCA COLA FEMSA S A B DE C V,191241108,376736,6214719
CROWN CASTLE INTL CORP NEW,22822V101,758072,5332900
ECOLAB INC,278865100,842677,4366426
FEDEX CORP,31428X106,457410,3024999
GRUPO TELEVISA SA,40049J206,197992,16879104
LIBERTY GLOBAL PLC,G5480U104,48198,2119515
LIBERTY GLOBAL PLC,G5480U120,79320,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,7149,370424
LIBERTY LATIN AMERICA LTD,G9001E128,12377,636044
UNITED PARCEL SERVICE INC,911312106,529735,4525329
WALMART INC,931142103,1378901,11603000
WASTE MGMT INC DEL,94106L109,2123493,18633672
