Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,21944,3060500
AUTONATION INC,05329W102,67822,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,10462145,52078974
CANADIAN NATL RY CO,136375102,1532513,17126874
CATERPILLAR INC DEL,149123101,1525734,11260857
COCA COLA FEMSA S A B DE C V,191241108,410171,6214719
CROWN CASTLE INTL CORP NEW,22822V101,682611,5332900
ECOLAB INC,278865100,770849,4366426
FEDEX CORP,31428X106,548765,3024999
GRUPO TELEVISA SA,40049J206,186683,16879104
LIBERTY GLOBAL PLC,G5480U104,52818,2119515
LIBERTY GLOBAL PLC,G5480U120,88109,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,7164,370424
LIBERTY LATIN AMERICA LTD,G9001E128,12371,636044
MICROSOFT CORP,594918104,943520,8000000
UNITED PARCEL SERVICE INC,911312106,505660,4525329
WALMART INC,931142103,1131641,11603000
WASTE MGMT INC DEL,94106L109,1936225,18633672
