Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,31676,3060500
AUTONATION INC,05329W102,97461,1898717
BERKSHIRE HATHAWAY INC DEL,084670702,12600840,63569972
CANADIAN NATL RY CO,136375102,1412967,17126874
CATERPILLAR INC DEL,149123101,1774486,11260857
COCA COLA FEMSA S A B DE C V,191241108,432669,6214719
CROWN CASTLE INTL CORP NEW,22822V101,592005,5332900
ECOLAB INC,278865100,585887,4366426
FEDEX CORP,31428X106,754858,3024999
GRUPO TELEVISA SA,40049J206,315133,16879104
LIBERTY GLOBAL PLC,G5480U104,75963,2119515
LIBERTY GLOBAL PLC,G5480U120,123156,3639349
LIBERTY GLOBAL PLC,G5480U138,7464,370424
LIBERTY GLOBAL PLC,G5480U153,12651,636044
MICROSOFT CORP,594918104,4105920,48000000
UNITED PARCEL SERVICE INC,911312106,539193,4525329
WAL-MART STORES INC,931142103,1145796,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,252383,3475398
WASTE MGMT INC DEL,94106L109,1608086,18633672
