Name of Issuer,CUSIP,Value,Shares
AUTONATION INC,05329W102,82385,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,8347147,74581373
BP PLC,055622104,297731,7133001
CANADIAN NATL RY CO,136375102,832966,8563437
CATERPILLAR INC DEL,149123101,887663,10760857
COCA COLA CO,191216100,1363820,34002000
COCA COLA FEMSA SAB DE CV,191241108,871863,6214719
CROWN CASTLE INTL CORP,228227104,386049,5332900
DIAMOND FOODS INC,252603105,9154,441163
ECOLAB INC,278865100,371976,4366425
EXXON MOBIL CORP,30231G102,690623,7643858
FEDEX CORP,31428X106,298204,3024999
GRUPO TELEVISA SA,40049J206,419277,16879103
LIBERTY GLOBAL PLC,G5480U104,157014,2119515
LIBERTY GLOBAL PLC,G5480U120,47965,706507
MCDONALD S CORP,580135101,977378,9872500
PROCTER & GAMBLE CO,742718109,115485,1500000
REPUBLIC SVCS INC,760759100,45819,1350000
TOYOTA MOTOR CORP,892331307,18497,153300
WAL-MART STORES INC,931142103,827062,11103000
WASTE MGMT INC DEL,94106L109,751496,18633672
