Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,20567,3060500
BERKSHIRE HATHAWAY INC DEL,084670702,11422903,54912525
BEYOND MEAT INC,08862E109,14348,96542
CANADIAN NATL RY CO,136375102,1539021,17126874
CATERPILLAR INC DEL,149123101,1422359,11260857
COCA COLA FEMSA S A B DE C V,191241108,376736,6214719
CORNERSTONE BLDG BRANDS INC,21925D109,83,13731
CROWN CASTLE INTL CORP NEW,22822V101,741326,5332900
ECOLAB INC,278865100,864727,4366426
FEDEX CORP,31428X106,440349,3024999
GRUPO TELEVISA SA,40049J206,165078,16879104
LIBERTY GLOBAL PLC,G5480U104,52458,2119515
LIBERTY GLOBAL PLC,G5480U120,86580,3639349
LIBERTY LATIN AMERICA LTD,G9001E102,6323,370424
LIBERTY LATIN AMERICA LTD,G9001E128,10873,636044
UNITED PARCEL SERVICE INC,911312106,542225,4525329
WALMART INC,931142103,1377044,11603000
WASTE MGMT INC DEL,94106L109,2142872,18633672
