Name of Issuer,CUSIP,Value,Shares
BOEING CO,097023105,8948,60000
CRACKER BARREL OLD CTRY STOR,22410J106,558,6700
DISCOVERY INC,25470F104,6804,350000
FACEBOOK INC,30303M102,10008,60000
FOOT LOCKER INC,344849104,2205,100000
GAMESTOP CORP NEW,36467W109,10500,3000000
JACK IN THE BOX INC,466367109,10515,300000
LAS VEGAS SANDS CORP,517834107,2909,68500
MAXAR TECHNOLOGIES INC,57778K105,9612,900000
MICHAELS COS INC,59408Q106,5265,3250000
QORVO INC,74736K101,10079,125000
QORVO INC,74736K101,1048,13000
TAILORED BRANDS INC,87403A107,6960,4000000
WYNN RESORTS LTD,983134107,463,7700
