Name of Issuer,CUSIP,Value,Shares
ALEXANDER & BALDWIN INC NEW,014491104,9197,500356
ALPHABET INC,02079K305,8360,8000
ALTABA INC,021346101,3374,58225
BIOGEN INC,09062X103,3009,10000
CELGENE CORP,151020104,2884,45000
CLEVELAND CLIFFS INC,185899101,8012,1041934
COREPOINT LODGING INC,21872L104,11086,904984
DISNEY WALT CO,254687106,8772,80000
FACEBOOK INC,30303M102,8521,65000
FIVE POINT HOLDINGS LLC,33833Q106,9186,1323626
GAMESTOP CORP NEW,36467W109,6775,536862
MCKESSON CORP,58155Q103,4419,40000
MOHAWK INDS INC,608190104,2200,18809
SPORTSMANS WHSE HLDGS INC,84920Y106,5334,1217869
TAILORED BRANDS INC,87403A107,8702,638005
WESTERN DIGITAL CORP,958102105,3697,100000
