Name of Issuer,CUSIP,Value,Shares
ALPHABET INC,02079K107,113089,80000
BED BATH & BEYOND INC,075896100,10600,1000000
BK OF AMERICA CORP,060505104,8130,342300
BOOKING HOLDINGS INC,09857L108,18471,11600
COPA HOLDINGS SA,P31076105,7837,155000
CRACKER BARREL OLD CTRY STOR,22410J106,1653,14900
DESIGNER BRANDS INC,250565108,3893,575000
DISCOVERY INC,25470F104,10550,500000
DISCOVERY INC,25470F104,1312,62200
FACEBOOK INC,30303M102,21163,93200
FOOT LOCKER INC,344849104,5249,180000
GAMESTOP CORP NEW,36467W109,11935,2750000
GOLDMAN SACHS GROUP INC,38141G104,14545,73600
HELMERICH & PAYNE INC,423452101,7316,375000
HELMERICH & PAYNE INC,423452101,341,17500
JPMORGAN CHASE & CO,46625H100,8089,86000
KIMBALL INTL INC,494274103,1924,166452
LAS VEGAS SANDS CORP,517834107,6968,153000
MAXAR TECHNOLOGIES INC,57778K105,5388,300000
NATIONAL OILWELL VARCO INC,637071101,2112,172400
PRECISION DRILLING CORP,74022D308,3054,4024093
QORVO INC,74736K101,8290,75000
QORVO INC,74736K101,4200,38000
RETAIL OPPORTUNITY INVTS COR,76131N101,5665,500000
TRIP COM GROUP LTD,89677Q107,8424,325000
UNITI GROUP INC,91325V108,5955,636894
VIACOMCBS INC,92556H206,2006,86000
WESTERN DIGITAL CORP.,958102105,11921,270000
WYNN RESORTS LTD,983134107,5214,70000
