Name of Issuer,CUSIP,Value,Shares
ALPHABET INC,02079K305,8827,7500
ALTABA INC,021346101,7783,105000
CLEVELAND CLIFFS INC,185899101,7493,750000
COREPOINT LODGING INC,21872L104,7345,657600
DISNEY WALT CO,254687106,7772,70000
FACEBOOK INC,30303M102,7501,45000
FIVE POINT HOLDINGS LLC,33833Q106,8929,1238381
GAMESTOP CORP NEW,36467W109,6604,650000
GREENSKY INC,39572G100,3520,272021
JD COM INC,47215P106,9045,300000
PETIQ INC,71639T106,3337,106232
SPORTSMANS WHSE HLDGS INC,84920Y106,6001,1250119
TAILORED BRANDS INC,87403A107,6815,869200
WESTERN DIGITAL CORP,958102105,7209,150000
