Name of Issuer,CUSIP,Value,Shares
AMAZON COM INC,023135106,817908,419500
AMAZON COM INC,023135106,221878,113800
AMERICAN AIRLS GROUP INC,02376R102,245641,20151000
AMERICAN AIRLS GROUP INC,02376R102,265230,21758000
AMERICAN EXPRESS CO,025816109,167123,1952142
AMERICAN EXPRESS CO,025816109,1474666,17225400
AMERICAN EXPRESS CO,025816109,71898,839832
AMERICAN EXPRESS CO,025816109,176108,2057100
AMERICAN EXPRESS CO,025816109,684421,7994634
AMERICAN EXPRESS CO,025816109,10285346,120141879
AMERICAN EXPRESS CO,025816109,119829,1399713
APPLE INC,037833100,43992,173000
APPLE INC,037833100,244118,960000
APPLE INC,037833100,1542269,6065000
APPLE INC,037833100,4367382,17174807
APPLE INC,037833100,173171,681000
APPLE INC,037833100,3912442,15385747
APPLE INC,037833100,772533,3038000
APPLE INC,037833100,3040800,11958000
APPLE INC,037833100,47831443,188098012
APPLE INC,037833100,172409,678000
APPLE INC,037833100,240050,944000
BANK AMER CORP,060505104,83222,3920000
BANK AMER CORP,060505104,252637,11900000
BANK AMER CORP,060505104,176368,8307500
BANK AMER CORP,060505104,2972200,140000000
BANK AMER CORP,060505104,650232,30628000
BANK AMER CORP,060505104,44583,2100000
BANK AMER CORP,060505104,6619089,311780000
BANK AMER CORP,060505104,254739,11999000
BANK AMER CORP,060505104,366748,17275000
BANK AMER CORP,060505104,7415620,349299100
BANK AMER CORP,060505104,594440,28000000
BANK AMER CORP,060505104,208054,9800000
BANK OF NEW YORK MELLON CORP,064058100,252979,7511249
BANK OF NEW YORK MELLON CORP,064058100,72345,2148000
BANK OF NEW YORK MELLON CORP,064058100,60419,1793915
BANK OF NEW YORK MELLON CORP,064058100,15392,457000
BANK OF NEW YORK MELLON CORP,064058100,26136,776000
BANK OF NEW YORK MELLON CORP,064058100,218596,6490384
BANK OF NEW YORK MELLON CORP,064058100,246504,7319000
BANK OF NEW YORK MELLON CORP,064058100,129818,3854463
BANK OF NEW YORK MELLON CORP,064058100,1505134,44689264
BANK OF NEW YORK MELLON CORP,064058100,72075,2140000
BANK OF NEW YORK MELLON CORP,064058100,87089,2585782
BIOGEN INC,09062X103,148168,468322
BIOGEN INC,09062X103,55272,174700
CHARTER COMMUNICATIONS INC N,16119P108,2367684,5426609
COCA COLA CO,191216100,35400,800000
COCA COLA CO,191216100,3552532,80283200
COCA COLA CO,191216100,80712,1824000
COCA COLA CO,191216100,637696,14411200
COCA COLA CO,191216100,663325,14990400
COCA COLA CO,191216100,12530680,283179200
COCA COLA CO,191216100,157176,3552000
COCA COLA CO,191216100,42480,960000
COSTCO WHSL CORP NEW,22160K105,1235572,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1489414,19582088
DAVITA HEALTHCARE PARTNERS I,23918K108,1408135,18513482
DELTA AIR LINES INC DEL,247361702,199514,6993123
DELTA AIR LINES INC DEL,247361702,1851421,64893840
GENERAL MTRS CO,37045V100,554307,26675000
GENERAL MTRS CO,37045V100,517156,24887209
GENERAL MTRS CO,37045V100,174601,8402338
GENERAL MTRS CO,37045V100,305808,14716453
GLOBE LIFE INC,37959E102,12558,174489
GLOBE LIFE INC,37959E102,72826,1011888
GLOBE LIFE INC,37959E102,103588,1439325
GLOBE LIFE INC,37959E102,268306,3728025
GOLDMAN SACHS GROUP INC,38141G104,191838,1240945
GOLDMAN SACHS GROUP INC,38141G104,105003,679235
