Name of Issuer,CUSIP,Value,Shares
AT&T INC,00206R102,1123050,32637320
AT&T INC,00206R102,450946,13105079
AT&T INC,00206R102,28723,834739
AMERICAN EXPRESS CO,025816109,135771,1952142
AMERICAN EXPRESS CO,025816109,1198027,17225400
AMERICAN EXPRESS CO,025816109,58410,839832
AMERICAN EXPRESS CO,025816109,143071,2057100
AMERICAN EXPRESS CO,025816109,556027,7994634
AMERICAN EXPRESS CO,025816109,8355868,120141879
AMERICAN EXPRESS CO,025816109,97350,1399713
BANK OF NEW YORK MELLON CORP,064058100,274793,6666492
BANK OF NEW YORK MELLON CORP,064058100,73945,1793915
BANK OF NEW YORK MELLON CORP,064058100,224459,5445384
BANK OF NEW YORK MELLON CORP,064058100,22672,550021
BANK OF NEW YORK MELLON CORP,064058100,233157,5656400
CHARTER COMMUNICATIONS INC D,16117M305,516057,2818446
CHARTER COMMUNICATIONS INC D,16117M305,1366504,7463157
COCA COLA CO,191216100,34368,800000
COCA COLA CO,191216100,3448966,80283200
COCA COLA CO,191216100,78359,1824000
COCA COLA CO,191216100,619105,14411200
COCA COLA CO,191216100,785240,18278400
COCA COLA CO,191216100,12024126,279891200
COCA COLA CO,191216100,152594,3552000
COCA COLA CO,191216100,41242,960000
COSTCO WHSL CORP NEW,22160K105,699838,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1397831,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1290575,18513482
DEERE & CO,244199105,54892,719700
DEERE & CO,244199105,176372,2312467
DEERE & CO,244199105,9165,120165
DEERE & CO,244199105,1504946,19731818
GENERAL ELECTRIC CO,369604103,18344,588900
GENERAL ELECTRIC CO,369604103,16682,535532
GENERAL ELECTRIC CO,369604103,155697,4998302
GENERAL ELECTRIC CO,369604103,1112,35702
GENERAL ELECTRIC CO,369604103,132343,4248556
GENERAL ELECTRIC CO,369604103,5561,178510
GENERAL MTRS CO,37045V100,471510,13863853
GENERAL MTRS CO,37045V100,846414,24887209
GENERAL MTRS CO,37045V100,340486,10011338
GENERAL MTRS CO,37045V100,42091,1237600
GOLDMAN SACHS GROUP INC,38141G104,788681,4375968
GOLDMAN SACHS GROUP INC,38141G104,1186553,6583551
GRAHAM HLDGS CO,384637104,23359,48165
GRAHAM HLDGS CO,384637104,28812,59410
INTERNATIONAL BUSINESS MACHS,459200101,11626,84480
INTERNATIONAL BUSINESS MACHS,459200101,38258,278000
INTERNATIONAL BUSINESS MACHS,459200101,99264,721288
INTERNATIONAL BUSINESS MACHS,459200101,70021,508800
INTERNATIONAL BUSINESS MACHS,459200101,116027,843100
INTERNATIONAL BUSINESS MACHS,459200101,10816627,78597782
JOHNSON & JOHNSON,478160104,33600,327100
KINDER MORGAN INC DEL,49456B101,395880,26533525
KRAFT HEINZ CO,500754106,23693189,325634818
LEE ENTERPRISES INC,523768109,149,88863
LIBERTY MEDIA CORP DELAWARE,531229102,77126,1965000
LIBERTY MEDIA CORP DELAWARE,531229102,187653,4780980
