Name of Issuer,CUSIP,Value,Shares
AMAZON COM INC,023135106,782560,423500
AMAZON COM INC,023135106,210284,113800
AMERICAN AIRLS GROUP INC,02376R102,594881,20742000
AMERICAN AIRLS GROUP INC,02376R102,624019,21758000
AMERICAN EXPRESS CO,025816109,243022,1952142
AMERICAN EXPRESS CO,025816109,2144390,17225400
AMERICAN EXPRESS CO,025816109,104551,839832
AMERICAN EXPRESS CO,025816109,256088,2057100
AMERICAN EXPRESS CO,025816109,995252,7994634
AMERICAN EXPRESS CO,025816109,14956463,120141879
AMERICAN EXPRESS CO,025816109,174250,1399713
APPLE INC,037833100,50801,173000
APPLE INC,037833100,281904,960000
APPLE INC,037833100,1780987,6065000
APPLE INC,037833100,5043382,17174807
APPLE INC,037833100,199976,681000
APPLE INC,037833100,4518025,15385747
APPLE INC,037833100,892109,3038000
APPLE INC,037833100,3511467,11958000
APPLE INC,037833100,55234981,188098012
APPLE INC,037833100,199095,678000
APPLE INC,037833100,277206,944000
BANK AMER CORP,060505104,138062,3920000
BANK AMER CORP,060505104,419118,11900000
BANK AMER CORP,060505104,292590,8307500
BANK AMER CORP,060505104,4930800,140000000
BANK AMER CORP,060505104,1078718,30628000
BANK AMER CORP,060505104,73962,2100000
BANK AMER CORP,060505104,10980892,311780000
BANK AMER CORP,060505104,422605,11999000
BANK AMER CORP,060505104,608426,17275000
BANK AMER CORP,060505104,12302314,349299100
BANK AMER CORP,060505104,986160,28000000
BANK AMER CORP,060505104,345156,9800000
BANK OF NEW YORK MELLON CORP,064058100,378041,7511249
BANK OF NEW YORK MELLON CORP,064058100,108109,2148000
BANK OF NEW YORK MELLON CORP,064058100,90288,1793915
BANK OF NEW YORK MELLON CORP,064058100,23001,457000
BANK OF NEW YORK MELLON CORP,064058100,39056,776000
BANK OF NEW YORK MELLON CORP,064058100,326661,6490384
BANK OF NEW YORK MELLON CORP,064058100,368365,7319000
BANK OF NEW YORK MELLON CORP,064058100,193995,3854463
BANK OF NEW YORK MELLON CORP,064058100,2249211,44689264
BANK OF NEW YORK MELLON CORP,064058100,107706,2140000
BANK OF NEW YORK MELLON CORP,064058100,130142,2585782
BIOGEN INC,09062X103,1610,5425
BIOGEN INC,09062X103,138965,468322
BIOGEN INC,09062X103,51839,174700
CHARTER COMMUNICATIONS INC N,16119P108,2632339,5426609
COCA COLA CO,191216100,44280,800000
COCA COLA CO,191216100,4443675,80283200
COCA COLA CO,191216100,100958,1824000
COCA COLA CO,191216100,797660,14411200
COCA COLA CO,191216100,829719,14990400
COCA COLA CO,191216100,15673969,283179200
COCA COLA CO,191216100,196603,3552000
COCA COLA CO,191216100,53136,960000
COSTCO WHSL CORP NEW,22160K105,1273662,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1504508,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1389067,18513482
DELTA AIR LINES INC DEL,247361702,408958,6993123
DELTA AIR LINES INC DEL,247361702,3737886,63917333
GENERAL MTRS CO,37045V100,987980,26994000
GENERAL MTRS CO,37045V100,910872,24887209
GENERAL MTRS CO,37045V100,307526,8402338
GENERAL MTRS CO,37045V100,538622,14716453
GLOBE LIFE INC,37959E102,18365,174489
GLOBE LIFE INC,37959E102,106501,1011888
GLOBE LIFE INC,37959E102,151489,1439325
GLOBE LIFE INC,37959E102,392375,3728025
GOLDMAN SACHS GROUP INC,38141G104,1006166,4375968
GOLDMAN SACHS GROUP INC,38141G104,1754086,7628783
JPMORGAN CHASE & CO,46625H100,127272,913000
JPMORGAN CHASE & CO,46625H100,254977,1829100
JPMORGAN CHASE & CO,46625H100,30180,216500
JPMORGAN CHASE & CO,46625H100,38196,274000
JPMORGAN CHASE & CO,46625H100,241859,1735000
JPMORGAN CHASE & CO,46625H100,7317989,52496332
JPMORGAN CHASE & CO,46625H100,285909,2051000
JOHNSON & JOHNSON,478160104,47714,327100
KRAFT HEINZ CO,500754106,10462647,325634818
KROGER CO,501044101,549073,18940079
LIBERTY MEDIA CORP DELAWARE,531229409,208254,4308117
LIBERTY MEDIA CORP DELAWARE,531229409,376655,7791780
LIBERTY MEDIA CORP DELAWARE,531229409,45120,933391
LIBERTY MEDIA CORP DELAWARE,531229409,88321,1827072
LIBERTY MEDIA CORP DELAWARE,531229607,344347,7153027
LIBERTY MEDIA CORP DELAWARE,531229607,931986,19359910
LIBERTY MEDIA CORP DELAWARE,531229607,24487,508654
LIBERTY MEDIA CORP DELAWARE,531229607,195901,4069394
M & T BK CORP,55261F104,92684,546000
M & T BK CORP,55261F104,27974,164795
M & T BK CORP,55261F104,792944,4671245
MASTERCARD INC,57636Q104,1473469,4934756
MONDELEZ INTL INC,609207105,31836,578000
MOODYS CORP,615369105,2842730,11973928
MOODYS CORP,615369105,3014122,12695850
OCCIDENTAL PETE CORP,674599105,51224,1243000
OCCIDENTAL PETE CORP,674599105,48092,1167000
OCCIDENTAL PETE CORP,674599105,598495,14523054
OCCIDENTAL PETE CORP,674599105,82420,2000000
PNC FINL SVCS GROUP INC,693475105,220178,1379300
PNC FINL SVCS GROUP INC,693475105,33921,212500
PNC FINL SVCS GROUP INC,693475105,278155,1742500
PNC FINL SVCS GROUP INC,693475105,837859,5248754
PNC FINL SVCS GROUP INC,693475105,14047,88000
PHILLIPS 66,718546104,25339,227436
PROCTER & GAMBLE CO,742718109,39393,315400
RH,74967X103,162958,763269
RH,74967X103,201774,945079
RESTAURANT BRANDS INTL INC,76131D103,538106,8438225
SPDR S&P 500 ETF TR,78462F103,12681,39400
SIRIUS XM HLDGS INC,82968B103,657141,91907788
SIRIUS XM HLDGS INC,82968B103,317231,44367941
SOUTHWEST AIRLS CO,844741108,375512,6956500
SOUTHWEST AIRLS CO,844741108,55856,1034747
SOUTHWEST AIRLS CO,844741108,471,8722
SOUTHWEST AIRLS CO,844741108,2464146,45649244
STORE CAP CORP,862121100,693471,18621674
SUNCOR ENERGY INC NEW,867224107,352862,10758000
SUNCOR ENERGY INC NEW,867224107,64161,1956124
SUNCOR ENERGY INC NEW,867224107,75601,2304907
SYNCHRONY FINL,87165B103,628843,17463000
SYNCHRONY FINL,87165B103,120273,3340000
TEVA PHARMACEUTICAL INDS LTD,881624209,218393,22285000
TEVA PHARMACEUTICAL INDS LTD,881624209,26554,2709585
TEVA PHARMACEUTICAL INDS LTD,881624209,178896,18254710
TRAVELERS COMPANIES INC,89417E109,42780,312379
US BANCORP DEL,902973304,34997,590275
US BANCORP DEL,902973304,228267,3850000
US BANCORP DEL,902973304,286993,4840500
US BANCORP DEL,902973304,1441180,24307300
US BANCORP DEL,902973304,69666,1175000
US BANCORP DEL,902973304,751756,12679300
US BANCORP DEL,902973304,249303,4204800
US BANCORP DEL,902973304,224650,3789000
US BANCORP DEL,902973304,4463259,75278443
US BANCORP DEL,902973304,103461,1745000
UNITED CONTL HLDGS INC,910047109,499367,5668831
UNITED CONTL HLDGS INC,910047109,1433208,16269811
UNITED PARCEL SERVICE INC,911312106,6953,59400
VANGUARD INDEX FDS,922908363,12719,43000
VERISIGN INC,92343E102,972507,5047264
VERISIGN INC,92343E102,1523228,7905481
VISA INC,92826C839,60748,323300
VISA INC,92826C839,1923938,10239160
WELLS FARGO & CO NEW,949746101,96840,1800000
WELLS FARGO & CO NEW,949746101,24210,450000
WELLS FARGO & CO NEW,949746101,285328,5303500
WELLS FARGO & CO NEW,949746101,366532,6812857
WELLS FARGO & CO NEW,949746101,3025554,56237071
WELLS FARGO & CO NEW,949746101,44116,820000
WELLS FARGO & CO NEW,949746101,91460,1700000
WELLS FARGO & CO NEW,949746101,1378523,25623100
WELLS FARGO & CO NEW,949746101,460905,8567000
WELLS FARGO & CO NEW,949746101,2398051,44573430
WELLS FARGO & CO NEW,949746101,8873139,164928240
WELLS FARGO & CO NEW,949746101,149994,2788000
WELLS FARGO & CO NEW,949746101,86603,1609720
WELLS FARGO & CO NEW,949746101,107600,2000000
AXALTA COATING SYS LTD,G0750C108,101050,3324000
AXALTA COATING SYS LTD,G0750C108,624627,20546957
AXALTA COATING SYS LTD,G0750C108,11949,393043
LIBERTY GLOBAL PLC,G5480U104,190538,8379000
LIBERTY GLOBAL PLC,G5480U104,254483,11190970
LIBERTY GLOBAL PLC,G5480U104,5026,221030
LIBERTY GLOBAL PLC,G5480U120,160127,7346968
STONECO LTD,G85158106,565112,14166748
LIBERTY LATIN AMERICA LTD,G9001E102,21031,1089669
LIBERTY LATIN AMERICA LTD,G9001E102,31366,1625185
LIBERTY LATIN AMERICA LTD,G9001E128,24987,1284020
