Name of Issuer,CUSIP,Value,Shares
AMERICAN AIRLS GROUP INC,02376R102,1094057,21742000
AMERICAN AIRLS GROUP INC,02376R102,1182429,23498200
AMERICAN AIRLS GROUP INC,02376R102,88553,1759800
AMERICAN EXPRESS CO,025816109,164448,1952142
AMERICAN EXPRESS CO,025816109,1451068,17225400
AMERICAN EXPRESS CO,025816109,70747,839832
AMERICAN EXPRESS CO,025816109,173290,2057100
AMERICAN EXPRESS CO,025816109,673468,7994634
AMERICAN EXPRESS CO,025816109,10120752,120141879
AMERICAN EXPRESS CO,025816109,117912,1399713
APPLE INC,037833100,102254,710000
APPLE INC,037833100,138259,960000
APPLE INC,037833100,2009223,13951000
APPLE INC,037833100,98078,681000
APPLE INC,037833100,2215855,15385747
APPLE INC,037833100,437533,3038000
APPLE INC,037833100,1722191,11958000
APPLE INC,037833100,11793252,81886213
APPLE INC,037833100,97646,678000
APPLE INC,037833100,135955,944000
BANK OF NEW YORK MELLON CORP,064058100,383224,7511249
BANK OF NEW YORK MELLON CORP,064058100,109591,2148000
BANK OF NEW YORK MELLON CORP,064058100,91526,1793915
BANK OF NEW YORK MELLON CORP,064058100,23316,457000
BANK OF NEW YORK MELLON CORP,064058100,39592,776000
BANK OF NEW YORK MELLON CORP,064058100,314303,6160384
BANK OF NEW YORK MELLON CORP,064058100,373415,7319000
BANK OF NEW YORK MELLON CORP,064058100,1118565,21924040
BANK OF NEW YORK MELLON CORP,064058100,109183,2140000
CHARTER COMMUNICATIONS INC N,16119P108,894147,2654437
CHARTER COMMUNICATIONS INC N,16119P108,2286893,6789054
COCA COLA CO,191216100,35880,800000
COCA COLA CO,191216100,3600702,80283200
COCA COLA CO,191216100,81806,1824000
COCA COLA CO,191216100,646342,14411200
COCA COLA CO,191216100,672319,14990400
COCA COLA CO,191216100,12700587,283179200
COCA COLA CO,191216100,159307,3552000
COCA COLA CO,191216100,43056,960000
COSTCO WHSL CORP NEW,22160K105,693035,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1298573,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1198933,18513482
DELTA AIR LINES INC DEL,247361702,375810,6993123
DELTA AIR LINES INC DEL,247361702,2478342,46117272
GENERAL MTRS CO,37045V100,540467,15472853
GENERAL MTRS CO,37045V100,869310,24887209
GENERAL MTRS CO,37045V100,293494,8402338
GENERAL MTRS CO,37045V100,392529,11237600
GOLDMAN SACHS GROUP INC,38141G104,971027,4375968
GOLDMAN SACHS GROUP INC,38141G104,1460890,6583551
GRAHAM HLDGS CO,384637104,28882,48165
GRAHAM HLDGS CO,384637104,35625,59410
INTERNATIONAL BUSINESS MACHS,459200101,8319845,54084673
JOHNSON & JOHNSON,478160104,43272,327100
KRAFT HEINZ CO,500754106,27887366,325634818
LIBERTY MEDIA CORP DELAWARE,531229409,180855,4308117
LIBERTY MEDIA CORP DELAWARE,531229409,327099,7791780
LIBERTY MEDIA CORP DELAWARE,531229409,39184,933391
LIBERTY MEDIA CORP DELAWARE,531229409,76700,1827072
LIBERTY MEDIA CORP DELAWARE,531229607,298281,7153027
LIBERTY MEDIA CORP DELAWARE,531229607,807308,19359910
LIBERTY MEDIA CORP DELAWARE,531229607,21211,508654
LIBERTY MEDIA CORP DELAWARE,531229607,169694,4069394
M & T BK CORP,55261F104,88425,546000
M & T BK CORP,55261F104,26689,164795
M & T BK CORP,55261F104,756508,4671245
MASTERCARD INC,57636Q104,599326,4934756
MONDELEZ INTL INC,609207105,24964,578000
MOSANTO CO NEW,61166W101,388813,3285000
MOSANTO CO NEW,61166W101,563013,4756784
MOODYS CORP,615369105,1456988,11973928
MOODYS CORP,615369105,1544831,12695850
PHILLIPS 66,718546104,504574,6102000
PHILLIPS 66,718546104,64664,782000
PHILLIPS 66,718546104,431063,5213000
PHILLIPS 66,718546104,0,0
PHILLIPS 66,718546104,96168,1163000
PHILLIPS 66,718546104,5471092,66163892
PHILLIPS 66,718546104,104686,1266000
PROCTER & GAMBLE CO,742718109,27487,315400
RESTAURANT BRANDS INTL INC,76131D103,527727,8438225
SANOFI,80105N105,20189,421400
SANOFI,80105N105,24422,509742
SANOFI,80105N105,8111,169300
SANOFI,80105N105,134408,2805433
SIRIUS XM HLDGS INC,82968B103,511706,93547788
SIRIUS XM HLDGS INC,82968B103,242693,44367941
SOUTHWEST AIRLS CO,844741108,542,8722
SOUTHWEST AIRLS CO,844741108,2961017,47650734
STORE CAP CORP,862121100,418057,18621674
SYNCHRONY FINL,87165B103,520747,17463000
TORCHMARK CORP,891027104,13348,174489
TORCHMARK CORP,891027104,77409,1011888
TORCHMARK CORP,891027104,110108,1439325
TORCHMARK CORP,891027104,285194,3728025
US BANCORP DEL,902973304,30647,590275
US BANCORP DEL,902973304,159394,3070000
US BANCORP DEL,902973304,1237321,23831300
US BANCORP DEL,902973304,61006,1175000
US BANCORP DEL,902973304,658309,12679300
US BANCORP DEL,902973304,218313,4204800
US BANCORP DEL,902973304,1960888,37767492
US BANCORP DEL,902973304,90600,1745000
U S G CORP,903293405,407298,14035088
U S G CORP,903293405,724540,24966928
UNITED CONTL HLDGS INC,910047109,119751,1591379
UNITED CONTL HLDGS INC,910047109,426580,5668831
UNITED CONTL HLDGS INC,910047109,1576589,20951353
UNITED PARCEL SERVICE INC,911312106,6569,59400
VERISIGN INC,92343E102,469194,5047264
VERISIGN INC,92343E102,734894,7905481
VERIZON COMMUNICATIONS INC,92343V104,41,928
VERISK ANALYTICS INC,92345Y106,131907,1563434
VISA INC,92826C839,30319,323300
VISA INC,92826C839,960228,10239160
WABCO HLDGS INC,92927K102,8058,63195
WAL MART STORES INC,931142103,71593,946000
WAL MART STORES INC,931142103,33868,447513
WELLS FARGO & CO NEW,949746101,133594,2411000
WELLS FARGO & CO NEW,949746101,911495,16450000
WELLS FARGO & CO NEW,949746101,293867,5303500
WELLS FARGO & CO NEW,949746101,377500,6812857
WELLS FARGO & CO NEW,949746101,4158400,75047819
WELLS FARGO & CO NEW,949746101,45436,820000
WELLS FARGO & CO NEW,949746101,94197,1700000
WELLS FARGO & CO NEW,949746101,2008901,36255200
WELLS FARGO & CO NEW,949746101,579422,10457000
WELLS FARGO & CO NEW,949746101,3090566,55776330
WELLS FARGO & CO NEW,949746101,13883299,250555844
WELLS FARGO & CO NEW,949746101,154483,2788000
WELLS FARGO & CO NEW,949746101,89195,1609720
WELLS FARGO & CO NEW,949746101,110820,2000000
AXALTA COATING SYS LTD,G0750C108,106501,3324000
AXALTA COATING SYS LTD,G0750C108,640800,20000000
LIBERTY GLOBAL PLC,G5480U104,269133,8379000
LIBERTY GLOBAL PLC,G5480U104,379077,11801897
LIBERTY GLOBAL PLC,G5480U120,229078,7346968
LIBERTY GLOBAL PLC,G5480U138,23722,1089669
LIBERTY GLOBAL PLC,G5480U138,35380,1625185
LIBERTY GLOBAL PLC,G5480U153,27491,1284020
