Name of Issuer,CUSIP,Value,Shares
AMERICAN EXPRESS CO,025816109,181627,1952142
AMERICAN EXPRESS CO,025816109,1602651,17225400
AMERICAN EXPRESS CO,025816109,78138,839832
AMERICAN EXPRESS CO,025816109,180786,1943100
AMERICAN EXPRESS CO,025816109,743821,7994634
AMERICAN EXPRESS CO,025816109,11188607,120255879
AMERICAN EXPRESS CO,025816109,130229,1399713
BANK OF NEW YORK MELLON CORP,064058100,300814,7414700
BANK OF NEW YORK MELLON CORP,064058100,72779,1793915
BANK OF NEW YORK MELLON CORP,064058100,267663,6597567
BANK OF NEW YORK MELLON CORP,064058100,22314,550021
BANK OF NEW YORK MELLON CORP,064058100,229480,5656400
CHARTER COMMUNICATIONS INC D,16117M305,318958,1914282
CHARTER COMMUNICATIONS INC D,16117M305,713793,4283955
CHICAGO BRIDGE & IRON CO N V,167250109,177708,4233151
CHICAGO BRIDGE & IRON CO N V,167250109,271525,6467959
COCA COLA CO,191216100,33776,800000
COCA COLA CO,191216100,3389557,80283200
COCA COLA CO,191216100,77009,1824000
COCA COLA CO,191216100,608441,14411200
COCA COLA CO,191216100,771714,18278400
COCA COLA CO,191216100,11817006,279891200
COCA COLA CO,191216100,149965,3552000
COCA COLA CO,191216100,40531,960000
COSTCO WHSL CORP NEW,22160K105,614254,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1518745,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1402211,18513482
DEERE & CO,244199105,147418,1666300
DEERE & CO,244199105,204584,2312467
DEERE & CO,244199105,1160560,13118119
DIRECTV,25490A309,583970,6735529
DIRECTV,25490A309,1495590,17250170
DIRECTV,25490A309,600534,6926575
DIRECTV,25490A309,38252,441194
GENERAL ELECTRIC CO,369604103,14882,588900
GENERAL ELECTRIC CO,369604103,13533,535532
GENERAL ELECTRIC CO,369604103,126307,4998302
GENERAL ELECTRIC CO,369604103,902,35702
GENERAL ELECTRIC CO,369604103,107361,4248556
GENERAL ELECTRIC CO,369604103,4511,178510
GENERAL MTRS CO,37045V100,392914,11255056
GENERAL MTRS CO,37045V100,792632,22705000
GENERAL MTRS CO,37045V100,202560,5802344
GENERAL MTRS CO,37045V100,43205,1237600
GOLDMAN SACHS GROUP INC,38141G104,324086,1672012
GOLDMAN SACHS GROUP INC,38141G104,848194,4375968
GOLDMAN SACHS GROUP INC,38141G104,1276090,6583551
GRAHAM HLDGS CO,384637104,41601,48165
GRAHAM HLDGS CO,384637104,51313,59410
INTERNATIONAL BUSINESS MACHS,459200101,13554,84480
INTERNATIONAL BUSINESS MACHS,459200101,44602,278000
INTERNATIONAL BUSINESS MACHS,459200101,110637,689588
INTERNATIONAL BUSINESS MACHS,459200101,76177,474800
INTERNATIONAL BUSINESS MACHS,459200101,135267,843100
INTERNATIONAL BUSINESS MACHS,459200101,11969121,74601849
JOHNSON & JOHNSON,478160104,34205,327100
KRAFT FOODS GROUP INC,50076Q106,12072,192666
LEE ENTERPRISES INC,523768109,327,88863
LIBERTY MEDIA CORP DELAWARE,531229102,46639,1322340
LIBERTY MEDIA CORP DELAWARE,531229102,94441,2677660
LIBERTY MEDIA CORP DELAWARE,531229300,92643,2644680
LIBERTY MEDIA CORP DELAWARE,531229300,187597,5355320
M & T BK CORP,55261F104,68589,546000
M & T BK CORP,55261F104,20702,164795
M & T BK CORP,55261F104,586802,4671245
MASTERCARD INC,57636Q104,465243,5399756
MEDIA GEN INC NEW,58441K100,77731,4646220
MONDELEZ INTL INC,609207105,20996,578000
MOODYS CORP,615369105,1147222,11973928
MOODYS CORP,615369105,1216389,12695850
NATIONAL OILWELL VARCO INC,637071101,152893,2333178
NATIONAL OILWELL VARCO INC,637071101,191689,2925207
NOW INC,67011P100,16974,659694
NOW INC,67011P100,29998,1165875
PHILLIPS 66,718546104,470897,6567600
PRECISION CASTPARTS CORP,740189105,312634,1297883
PRECISION CASTPARTS CORP,740189105,374762,1555805
PROCTER & GAMBLE CO,742718109,28730,315400
PROCTER & GAMBLE CO,742718109,1847305,20280000
PROCTER & GAMBLE CO,742718109,142100,1560000
PROCTER & GAMBLE CO,742718109,568402,6240000
PROCTER & GAMBLE CO,742718109,568402,6240000
PROCTER & GAMBLE CO,742718109,1582933,17377678
PROCTER & GAMBLE CO,742718109,71050,780000
RESTAURANT BRANDS INTL INC,76131D103,329428,8438225
SANOFI,80105N105,19220,421400
SANOFI,80105N105,23249,509742
SANOFI,80105N105,7722,169300
SANOFI,80105N105,127956,2805433
SUNCOR ENERGY INC NEW,867224107,201768,6348894
SUNCOR ENERGY INC NEW,867224107,413140,13000000
SUNCOR ENERGY INC NEW,867224107,95512,3005400
TORCHMARK CORP,891027104,9452,174489
TORCHMARK CORP,891027104,54814,1011888
TORCHMARK CORP,891027104,77968,1439325
TORCHMARK CORP,891027104,201947,3728025
TWENTY FIRST CENTY FOX INC,90130A101,142785,3717867
TWENTY FIRST CENTY FOX INC,90130A101,39539,1029530
US BANCORP DEL,902973304,26533,590275
US BANCORP DEL,902973304,137997,3070000
US BANCORP DEL,902973304,1064456,23680896
US BANCORP DEL,902973304,569935,12679300
US BANCORP DEL,902973304,189006,4204800
US BANCORP DEL,902973304,137098,3050000
US BANCORP DEL,902973304,1396786,31074226
US BANCORP DEL,902973304,78438,1745000
U S G CORP,903293405,392842,14035088
U S G CORP,903293405,698824,24966928
UNITED PARCEL SERVICE INC,911312106,6603,59400
VERISIGN INC,92343E102,287694,5047264
VERISIGN INC,92343E102,452451,7937736
VERIZON COMMUNICATIONS INC,92343V104,630951,13487628
VERIZON COMMUNICATIONS INC,92343V104,70792,1513300
VERISK ANALYTICS INC,92345Y106,100138,1563434
VIACOM INC NEW,92553P201,297539,3954000
VIACOM INC NEW,92553P201,352184,4680190
VISA INC,92826C839,657936,2509290
WABCO HLDGS INC,92927K102,254996,2433632
WABCO HLDGS INC,92927K102,172121,1642693
WAL MART STORES INC,931142103,26279,306000
WAL MART STORES INC,931142103,146855,1710000
WAL MART STORES INC,931142103,2533,29500
WAL MART STORES INC,931142103,360696,4200000
WAL MART STORES INC,931142103,131726,1533840
WAL MART STORES INC,931142103,21985,256000
WAL MART STORES INC,931142103,81242,946000
WAL MART STORES INC,931142103,153639,1789000
WAL MART STORES INC,931142103,394017,4588000
WAL MART STORES INC,931142103,3777084,43980953
WAL MART STORES INC,931142103,45946,535000
WAL MART STORES INC,931142103,43885,511000
WELLS FARGO & CO NEW,949746101,334373,6099470
WELLS FARGO & CO NEW,949746101,901789,16450000
WELLS FARGO & CO NEW,949746101,290738,5303500
WELLS FARGO & CO NEW,949746101,373481,6812857
WELLS FARGO & CO NEW,949746101,4103486,74853819
WELLS FARGO & CO NEW,949746101,44952,820000
WELLS FARGO & CO NEW,949746101,93194,1700000
WELLS FARGO & CO NEW,949746101,1977314,36069200
WELLS FARGO & CO NEW,949746101,562837,10267000
WELLS FARGO & CO NEW,949746101,3070922,56018270
WELLS FARGO & CO NEW,949746101,13302966,242666287
WELLS FARGO & CO NEW,949746101,152838,2788000
WELLS FARGO & CO NEW,949746101,88245,1609720
WELLS FARGO & CO NEW,949746101,109640,2000000
LIBERTY GLOBAL PLC,G5480U104,170173,3389556
LIBERTY GLOBAL PLC,G5480U104,372861,7426768
LIBERTY GLOBAL PLC,G5480U120,354932,7346968
