Name of Issuer,CUSIP,Value,Shares
AMAZON COM INC,023135106,801952,423500
AMAZON COM INC,023135106,215495,113800
AMERICAN AIRLS GROUP INC,02376R102,676397,20742000
AMERICAN AIRLS GROUP INC,02376R102,743601,22802854
AMERICAN AIRLS GROUP INC,02376R102,5059,155146
AMERICAN EXPRESS CO,025816109,240972,1952142
AMERICAN EXPRESS CO,025816109,2126303,17225400
AMERICAN EXPRESS CO,025816109,103669,839832
AMERICAN EXPRESS CO,025816109,253928,2057100
AMERICAN EXPRESS CO,025816109,986858,7994634
AMERICAN EXPRESS CO,025816109,14830314,120141879
AMERICAN EXPRESS CO,025816109,172781,1399713
APPLE INC,037833100,140523,710000
APPLE INC,037833100,190003,960000
APPLE INC,037833100,1200385,6065000
APPLE INC,037833100,3494673,17657000
APPLE INC,037833100,134784,681000
APPLE INC,037833100,3045147,15385747
APPLE INC,037833100,601281,3038000
APPLE INC,037833100,2699629,13640000
APPLE INC,037833100,37571269,189830582
APPLE INC,037833100,134190,678000
APPLE INC,037833100,186836,944000
BANK AMER CORP,060505104,178640,6160000
BANK AMER CORP,060505104,345100,11900000
BANK AMER CORP,060505104,240918,8307500
BANK AMER CORP,060505104,4060000,140000000
BANK AMER CORP,060505104,888212,30628000
BANK AMER CORP,060505104,60900,2100000
BANK AMER CORP,060505104,9041620,311780000
BANK AMER CORP,060505104,347971,11999000
BANK AMER CORP,060505104,500975,17275000
BANK AMER CORP,060505104,10129674,349299100
BANK AMER CORP,060505104,812000,28000000
BANK AMER CORP,060505104,284200,9800000
BANK OF NEW YORK MELLON CORP,064058100,331622,7511249
BANK OF NEW YORK MELLON CORP,064058100,94834,2148000
BANK OF NEW YORK MELLON CORP,064058100,79201,1793915
BANK OF NEW YORK MELLON CORP,064058100,20177,457000
BANK OF NEW YORK MELLON CORP,064058100,34260,776000
BANK OF NEW YORK MELLON CORP,064058100,286550,6490384
BANK OF NEW YORK MELLON CORP,064058100,323134,7319000
BANK OF NEW YORK MELLON CORP,064058100,170175,3854463
BANK OF NEW YORK MELLON CORP,064058100,2024783,45861457
BANK OF NEW YORK MELLON CORP,064058100,94481,2140000
BANK OF NEW YORK MELLON CORP,064058100,114162,2585782
CHARTER COMMUNICATIONS INC N,16119P108,2144487,5426609
COCA COLA CO,191216100,40736,800000
COCA COLA CO,191216100,4088021,80283200
COCA COLA CO,191216100,92878,1824000
COCA COLA CO,191216100,733818,14411200
COCA COLA CO,191216100,763311,14990400
COCA COLA CO,191216100,14419485,283179200
COCA COLA CO,191216100,180868,3552000
COCA COLA CO,191216100,48883,960000
COSTCO WHSL CORP NEW,22160K105,1145135,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1128130,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1041568,18513482
DELTA AIR LINES INC DEL,247361702,396860,6993123
DELTA AIR LINES INC DEL,247361702,3627309,63917333
GENERAL MTRS CO,37045V100,1040079,26994000
GENERAL MTRS CO,37045V100,958904,24887209
GENERAL MTRS CO,37045V100,323742,8402338
GENERAL MTRS CO,37045V100,461826,11986149
GOLDMAN SACHS GROUP INC,38141G104,895323,4375968
GOLDMAN SACHS GROUP INC,38141G104,2859831,13977667
JPMORGAN CHASE & CO,46625H100,102073,913000
JPMORGAN CHASE & CO,46625H100,204493,1829100
JPMORGAN CHASE & CO,46625H100,24205,216500
JPMORGAN CHASE & CO,46625H100,30633,274000
JPMORGAN CHASE & CO,46625H100,193973,1735000
JPMORGAN CHASE & CO,46625H100,5869090,52496332
JPMORGAN CHASE & CO,46625H100,229302,2051000
JOHNSON & JOHNSON,478160104,45558,327100
KRAFT HEINZ CO,500754106,10107705,325634818
LIBERTY MEDIA CORP DELAWARE,531229409,162890,4308117
LIBERTY MEDIA CORP DELAWARE,531229409,294607,7791780
LIBERTY MEDIA CORP DELAWARE,531229409,35292,933391
