Name of Issuer,CUSIP,Value,Shares
AMERICAN AIRLS GROUP INC,02376R102,787366,20742000
AMERICAN AIRLS GROUP INC,02376R102,871190,22950200
AMERICAN AIRLS GROUP INC,02376R102,38256,1007800
AMERICAN EXPRESS CO,025816109,191310,1952142
AMERICAN EXPRESS CO,025816109,1688089,17225400
AMERICAN EXPRESS CO,025816109,82304,839832
AMERICAN EXPRESS CO,025816109,201596,2057100
AMERICAN EXPRESS CO,025816109,783474,7994634
AMERICAN EXPRESS CO,025816109,11773904,120141879
AMERICAN EXPRESS CO,025816109,137172,1399713
APPLE INC,037833100,656725,3547753
APPLE INC,037833100,177706,960000
APPLE INC,037833100,1122692,6065000
APPLE INC,037833100,3268487,17657000
APPLE INC,037833100,126060,681000
APPLE INC,037833100,2848056,15385747
APPLE INC,037833100,562364,3038000
APPLE INC,037833100,2524900,13640000
APPLE INC,037833100,35052314,189359377
APPLE INC,037833100,125505,678000
APPLE INC,037833100,174744,944000
BANK AMER CORP,060505104,173650,6160000
BANK AMER CORP,060505104,335461,11900000
BANK AMER CORP,060505104,3946600,140000000
BANK AMER CORP,060505104,157864,5600000
BANK AMER CORP,060505104,59199,2100000
BANK AMER CORP,060505104,8789078,311780000
BANK AMER CORP,060505104,15786,560000
BANK AMER CORP,060505104,4597789,163100000
BANK AMER CORP,060505104,789320,28000000
BANK AMER CORP,060505104,276262,9800000
BANK OF NEW YORK MELLON CORP,064058100,405082,7511249
BANK OF NEW YORK MELLON CORP,064058100,115842,2148000
BANK OF NEW YORK MELLON CORP,064058100,96746,1793915
BANK OF NEW YORK MELLON CORP,064058100,24646,457000
BANK OF NEW YORK MELLON CORP,064058100,41850,776000
BANK OF NEW YORK MELLON CORP,064058100,350026,6490384
BANK OF NEW YORK MELLON CORP,064058100,394714,7319000
BANK OF NEW YORK MELLON CORP,064058100,207871,3854463
BANK OF NEW YORK MELLON CORP,064058100,1742498,32310365
BANK OF NEW YORK MELLON CORP,064058100,115410,2140000
CHARTER COMMUNICATIONS INC N,16119P108,209684,715131
CHARTER COMMUNICATIONS INC N,16119P108,1990619,6789054
COCA COLA CO,191216100,35088,800000
COCA COLA CO,191216100,3521221,80283200
COCA COLA CO,191216100,80001,1824000
COCA COLA CO,191216100,632075,14411200
COCA COLA CO,191216100,657479,14990400
COCA COLA CO,191216100,12420240,283179200
COCA COLA CO,191216100,155791,3552000
