Name of Issuer,CUSIP,Value,Shares
AMERICAN EXPRESS CO,025816109,185200,1952142
AMERICAN EXPRESS CO,025816109,1634174,17225400
AMERICAN EXPRESS CO,025816109,79675,839832
AMERICAN EXPRESS CO,025816109,184342,1943100
AMERICAN EXPRESS CO,025816109,758451,7994634
AMERICAN EXPRESS CO,025816109,11408675,120255879
AMERICAN EXPRESS CO,025816109,132791,1399713
BANK OF NEW YORK MELLON CORP,064058100,301388,8041300
BANK OF NEW YORK MELLON CORP,064058100,67236,1793915
BANK OF NEW YORK MELLON CORP,064058100,322748,8611200
BANK OF NEW YORK MELLON CORP,064058100,20615,550021
BANK OF NEW YORK MELLON CORP,064058100,212002,5656400
CHARTER COMMUNICATIONS INC D,16117M305,147309,930099
CHARTER COMMUNICATIONS INC D,16117M305,218392,1378914
CHICAGO BRIDGE & IRON CO N V,167250109,288701,4233151
CHICAGO BRIDGE & IRON CO N V,167250109,441115,6467959
COCA COLA CO,191216100,33888,800000
COCA COLA CO,191216100,3400796,80283200
COCA COLA CO,191216100,77265,1824000
COCA COLA CO,191216100,610458,14411200
COCA COLA CO,191216100,774273,18278400
COCA COLA CO,191216100,11856191,279891200
COCA COLA CO,191216100,150463,3552000
COCA COLA CO,191216100,40666,960000
CONOCOPHILLIPS,20825C104,116184,1355228
COSTCO WHSL CORP NEW,22160K105,499030,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1381867,19107670
DAVITA HEALTHCARE PARTNERS I,23918K108,1338895,18513482
DEERE & CO,244199105,150883,1666300
DEERE & CO,244199105,209394,2312467
DIRECTV,25490A309,580245,6825606
DIRECTV,25490A309,1414769,16642389
EXXON MOBIL CORP,30231G102,1067953,10607400
EXXON MOBIL CORP,30231G102,277947,2760700
EXXON MOBIL CORP,30231G102,2795032,27761543
GENERAL ELECTRIC CO,369604103,15476,588900
GENERAL ELECTRIC CO,369604103,14074,535532
GENERAL ELECTRIC CO,369604103,131355,4998302
GENERAL ELECTRIC CO,369604103,938,35702
GENERAL ELECTRIC CO,369604103,111652,4248556
GENERAL ELECTRIC CO,369604103,4691,178510
GENERAL MTRS CO,37045V100,408559,11255056
GENERAL MTRS CO,37045V100,787892,21705000
GOLDMAN SACHS GROUP INC,38141G104,279962,1672012
