Name of Issuer,CUSIP,Value,Shares
AMERICAN EXPRESS CO,025816109,152501,1952142
AMERICAN EXPRESS CO,025816109,1345648,17225400
AMERICAN EXPRESS CO,025816109,65608,839832
AMERICAN EXPRESS CO,025816109,151795,1943100
AMERICAN EXPRESS CO,025816109,624541,7994634
AMERICAN EXPRESS CO,025816109,9394389,120255879
AMERICAN EXPRESS CO,025816109,109346,1399713
BANK OF NEW YORK MELLON CORP,064058100,291124,7234700
BANK OF NEW YORK MELLON CORP,064058100,72187,1793915
BANK OF NEW YORK MELLON CORP,064058100,219122,5445384
BANK OF NEW YORK MELLON CORP,064058100,22133,550021
BANK OF NEW YORK MELLON CORP,064058100,227614,5656400
CHARTER COMMUNICATIONS INC D,16117M305,316228,1637553
CHARTER COMMUNICATIONS INC D,16117M305,838403,4341583
CHICAGO BRIDGE & IRON CO N V,167250109,208525,4233151
CHICAGO BRIDGE & IRON CO N V,167250109,318612,6467959
COCA COLA CO,191216100,32440,800000
COCA COLA CO,191216100,3255484,80283200
COCA COLA CO,191216100,73963,1824000
COCA COLA CO,191216100,584374,14411200
COCA COLA CO,191216100,741189,18278400
COCA COLA CO,191216100,11349588,279891200
COCA COLA CO,191216100,144034,3552000
COCA COLA CO,191216100,38928,960000
COSTCO WHSL CORP NEW,22160K105,656483,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1629834,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1504776,18513482
DEERE & CO,244199105,86787,989700
DEERE & CO,244199105,202780,2312467
DEERE & CO,244199105,1228355,14007923
DIRECTV,25490A309,573194,6735529
DIRECTV,25490A309,1467989,17250170
DIRECTV,25490A309,589452,6926575
DIRECTV,25490A309,37546,441194
GENERAL ELECTRIC CO,369604103,14611,588900
GENERAL ELECTRIC CO,369604103,13287,535532
GENERAL ELECTRIC CO,369604103,124008,4998302
GENERAL ELECTRIC CO,369604103,886,35702
GENERAL ELECTRIC CO,369604103,105407,4248556
GENERAL ELECTRIC CO,369604103,4429,178510
GENERAL MTRS CO,37045V100,422065,11255056
GENERAL MTRS CO,37045V100,851438,22705000
GENERAL MTRS CO,37045V100,217588,5802344
GENERAL MTRS CO,37045V100,46410,1237600
GOLDMAN SACHS GROUP INC,38141G104,314288,1672012
GOLDMAN SACHS GROUP INC,38141G104,822551,4375968
GOLDMAN SACHS GROUP INC,38141G104,1237510,6583551
GRAHAM HLDGS CO,384637104,50555,48165
GRAHAM HLDGS CO,384637104,62359,59410
INTERNATIONAL BUSINESS MACHS,459200101,13559,84480
INTERNATIONAL BUSINESS MACHS,459200101,44619,278000
INTERNATIONAL BUSINESS MACHS,459200101,110679,689588
INTERNATIONAL BUSINESS MACHS,459200101,76205,474800
INTERNATIONAL BUSINESS MACHS,459200101,135318,843100
INTERNATIONAL BUSINESS MACHS,459200101,12389821,77195147
JOHNSON & JOHNSON,478160104,32906,327100
KRAFT FOODS GROUP INC,50076Q106,16784,192666
LEE ENTERPRISES INC,523768109,282,88863
LIBERTY MEDIA CORP DELAWARE,531229102,50976,1322340
LIBERTY MEDIA CORP DELAWARE,531229102,103224,2677660
LIBERTY MEDIA CORP DELAWARE,531229300,101027,2644680
LIBERTY MEDIA CORP DELAWARE,531229300,204573,5355320
M & T BK CORP,55261F104,69342,546000
M & T BK CORP,55261F104,20929,164795
M & T BK CORP,55261F104,593248,4671245
MASTERCARD INC,57636Q104,451799,5229756
MEDIA GEN INC NEW,58441K100,76616,4646220
MONDELEZ INTL INC,609207105,20860,578000
MOODYS CORP,615369105,1242894,11973928
MOODYS CORP,615369105,1317829,12695850
NATIONAL OILWELL VARCO INC,637071101,28984,579788
NATIONAL OILWELL VARCO INC,637071101,69941,1399107
NOW INC,67011P100,14276,659694
NOW INC,67011P100,25230,1165875
PHILLIPS 66,718546104,479617,6102000
PHILLIPS 66,718546104,109840,1397450
PRECISION CASTPARTS CORP,740189105,316193,1505683
PRECISION CASTPARTS CORP,740189105,565973,2695109
PROCTER & GAMBLE CO,742718109,25844,315400
PROCTER & GAMBLE CO,742718109,1661743,20280000
PROCTER & GAMBLE CO,742718109,127826,1560000
PROCTER & GAMBLE CO,742718109,511306,6240000
PROCTER & GAMBLE CO,742718109,511306,6240000
PROCTER & GAMBLE CO,742718109,1423927,17377678
PROCTER & GAMBLE CO,742718109,63913,780000
RESTAURANT BRANDS INTL INC,76131D103,324112,8438225
SANOFI,80105N105,20834,421400
SANOFI,80105N105,25202,509742
SANOFI,80105N105,8370,169300
SANOFI,80105N105,138701,2805433
SUNCOR ENERGY INC NEW,867224107,185705,6348894
SUNCOR ENERGY INC NEW,867224107,380250,13000000
SUNCOR ENERGY INC NEW,867224107,87908,3005400
TORCHMARK CORP,891027104,9583,174489
TORCHMARK CORP,891027104,55573,1011888
TORCHMARK CORP,891027104,79048,1439325
TORCHMARK CORP,891027104,204743,3728025
TWENTY FIRST CENTY FOX INC,90130A101,125813,3717867
TWENTY FIRST CENTY FOX INC,90130A101,84946,2510230
US BANCORP DEL,902973304,27044,619275
US BANCORP DEL,902973304,134067,3070000
US BANCORP DEL,902973304,1039446,23802300
US BANCORP DEL,902973304,553705,12679300
US BANCORP DEL,902973304,183624,4204800
US BANCORP DEL,902973304,133194,3050000
US BANCORP DEL,902973304,1511101,34602715
US BANCORP DEL,902973304,76204,1745000
U S G CORP,903293405,374737,14035088
U S G CORP,903293405,666617,24966928
UNITED PARCEL SERVICE INC,911312106,5758,59400
VERISIGN INC,92343E102,338015,5047264
VERISIGN INC,92343E102,531590,7937736
VERIZON COMMUNICATIONS INC,92343V104,655903,13487628
VERIZON COMMUNICATIONS INC,92343V104,73592,1513300
VERISK ANALYTICS INC,92345Y106,111629,1563434
VIACOM INC NEW,92553P201,244848,3584889
VIACOM INC NEW,92553P201,319657,4680190
VISA INC,92826C839,646588,9885160
WABCO HLDGS INC,92927K102,272855,2220502
WABCO HLDGS INC,92927K102,201854,1642693
WAL MART STORES INC,931142103,25169,306000
WAL MART STORES INC,931142103,140648,1710000
WAL MART STORES INC,931142103,2426,29500
WAL MART STORES INC,931142103,345450,4200000
WAL MART STORES INC,931142103,126158,1533840
WAL MART STORES INC,931142103,21056,256000
WAL MART STORES INC,931142103,77809,946000
WAL MART STORES INC,931142103,147145,1789000
WAL MART STORES INC,931142103,377363,4588000
WAL MART STORES INC,931142103,3617433,43980953
WAL MART STORES INC,931142103,44004,535000
WAL MART STORES INC,931142103,42030,511000
WELLS FARGO & CO NEW,949746101,331811,6099470
WELLS FARGO & CO NEW,949746101,894880,16450000
WELLS FARGO & CO NEW,949746101,288510,5303500
WELLS FARGO & CO NEW,949746101,370619,6812857
WELLS FARGO & CO NEW,949746101,4072048,74853819
WELLS FARGO & CO NEW,949746101,44608,820000
WELLS FARGO & CO NEW,949746101,92480,1700000
WELLS FARGO & CO NEW,949746101,1962164,36069200
WELLS FARGO & CO NEW,949746101,558525,10267000
WELLS FARGO & CO NEW,949746101,3047394,56018270
WELLS FARGO & CO NEW,949746101,13572828,249500523
WELLS FARGO & CO NEW,949746101,151667,2788000
WELLS FARGO & CO NEW,949746101,87569,1609720
WELLS FARGO & CO NEW,949746101,108800,2000000
LIBERTY GLOBAL PLC,G5480U104,150088,2916025
LIBERTY GLOBAL PLC,G5480U104,382256,7426768
LIBERTY GLOBAL PLC,G5480U120,365952,7346968
